naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2009,17.1,882,13,27.7,620.5,19691,9776.6,9893.6,405.8,636.3,200.3,3850.6,2790.4,1060.2,1.383999944,1.488000035,1.128999949,1.411000013,-0.064000003,1.172000051,-0.064000003,1.172999978
311119,2009,27.7,1124.3,17.4,35.3,623.1,30064,21910.4,8177.2,295.6,1571,421.2,5712.2,3724.8,1987.4,1.315000057,1.514000058,1.15199995,1.366999984,0.034000002,1.144000053,0.035,1.144999981
311211,2009,10,495.8,7.4,16.4,322.4,12548.3,8975.9,3487.1,227.6,1392.5,292.4,3081.4,1905.2,1176.2,1.172999978,1.536999941,1.180999994,1.268000007,0.211999997,1.340000033,0.213,1.340999961
311212,2009,3.7,157.4,2.8,6.1,102.3,3644.8,2695.5,1040,69.8,418.2,84.9,826.3,566,260.3,1.177999973,1.534999967,1.167999983,1.322000027,0.173999995,1.287999988,0.174999997,1.291000009
311213,2009,1,50.7,0.7,1.6,33,1014,739,263.3,19.2,114.6,23.6,523.6,318,205.6,1.411000013,1.567000031,1.182999969,1.496000051,-0.189999998,1.090000033,-0.188999996,1.083999991
311221,2009,8.5,535.2,5.3,11.5,317.3,16045.6,8283.2,7753.4,459.4,666.2,1146.3,7368.1,5440.1,1928,1.289999962,1.529000044,1.131000042,1.828999996,0.082999997,1.49000001,0.081,1.5
311222,2009,6,312.1,4.5,9.4,201.7,25577,19303.2,6514.4,208,1469.1,411.5,3250.8,2291.1,959.7,1.256999969,1.753999949,1.164000034,1.720000029,0.090000004,1.575000048,0.090000004,1.577000022
311223,2009,1.3,52.4,1,2,33.8,1989.4,1359.6,615.1,14.6,103.5,32,745.4,420,325.4,1.513000011,1.256999969,1.18599999,1.654000044,0.079999998,1.024999976,0.079999998,1.024000049
311225,2009,8.4,425,6.3,13.5,277,14017.5,10574.3,3384.9,140.6,677.1,159.2,2399.4,1611.4,788,1.432000041,1.485999942,1.171000004,1.628000021,0.090999998,1.075000048,0.090999998,1.075999975
311230,2009,13,784.8,10.6,22.3,616.1,11572.5,3548.1,7988.4,227.2,386.9,172.7,4939.6,3581.9,1357.7,1.177000046,1.383999944,1.123000026,1.506999969,0.025,1.120000005,0.024,1.121000051
311311,2009,4,199.4,2.9,6.5,134,1978.2,1114.9,861.3,90.8,273.2,58.3,1195.1,765.2,429.9,1.184000015,1.268000007,1.125,1.511999965,0.007,1.200999975,0.009,1.20599997
311312,2009,2.8,135.6,2.1,4.6,91.2,2434.7,1777.7,661.2,147.1,435.6,71.7,1512.8,916.2,596.6,1.258999944,1.268000007,1.100000024,1.549000025,-0.044,0.989000022,-0.041999999,0.995000005
311313,2009,6,271,5.3,11.1,217.1,3197.6,1771,1399.7,62.1,801,205.2,1690.3,1186.8,503.5,1.141000032,1.233999968,1.106999993,1.626000047,-0.064999998,1.215999961,-0.059999999,1.220999956
311320,2009,7.5,348.1,5.5,11,242.6,4125.3,2662.2,1444.1,84.5,702.9,50,1698.6,1212.3,486.3,1.411000013,1.322999954,1.131000042,1.248999953,-0.063000001,0.781000018,-0.063000001,0.781000018
311330,2009,24.3,961.1,18.9,34.6,659.1,9616.8,3881.7,5718.4,193.8,902,136.7,3386,2248.5,1137.5,1.394000053,1.307999969,1.133000016,1.241999984,-0.017999999,0.824000001,-0.017999999,0.824000001
311340,2009,16.5,705.6,12.3,24.7,459.3,6301.6,2569,3700.1,144.9,492.6,78,2794.1,2057.3,736.8,1.422999978,1.324000001,1.149000049,1.300999999,-0.066,0.759000003,-0.066,0.759000003
311411,2009,33.8,1104.2,28.1,55.7,797.1,11314.9,5679.8,5593.3,336.2,1293.8,271.3,5388.1,3636,1752.1,1.31400001,1.345999956,1.156000018,1.281000018,-0.041000001,0.958000004,-0.041000001,0.958999991
311412,2009,53,1885.7,44,87.2,1361.2,15121.7,8451.7,6678.3,470.6,1925.2,362.5,5155,3555.8,1599.2,1.210999966,1.345999956,1.152999997,1.18900001,-0.030999999,0.925000012,-0.030999999,0.925000012
