naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2001,14.1,568,10.7,22.7,382,9734.9,4576,5153.9,282.8,397,134.3,3359.3,2392.9,966.4,1.019000053,0.936999977,0.967999995,1.200000048,0.052000001,0.984000027,0.052999999,0.984000027
311119,2001,35.4,1131.9,21.2,44.3,580.3,16990,12388.1,4646.5,352.3,946.9,294.3,4849.4,3001.6,1847.9,0.799000025,0.939999998,0.981999993,1.174000025,0.050000001,1.17900002,0.050000001,1.179999948
311211,2001,11.6,418.5,8.6,19.2,268.8,6255.6,4568.5,1684.4,115.4,536.1,143,2827.3,1725.7,1101.6,0.888999999,0.961000025,0.99000001,1.075000048,-0.094999999,1.042000055,-0.094999999,1.042999983
311212,2001,4.1,135.7,3.1,6.5,88.6,1809.6,1263.4,511.4,46.8,359.1,42.5,767,530.4,236.6,0.663999975,0.962000012,0.981999993,1.118000031,0.097999997,1.434000015,0.098999999,1.43599999
311213,2001,0.9,39,0.6,1.2,23,499.8,373.8,128.9,26.8,135,46.7,647.3,431.9,215.3,0.902999997,0.984000027,0.99000001,1.284000039,0.088,0.94599998,0.090999998,0.949999988
311221,2001,8.6,439.2,5.7,13.2,267.2,7582.6,4710.1,2869.7,688,533.9,792.1,7866.9,5910.7,1956.3,0.899999976,0.977999985,0.967000008,1.287999988,-0.064999998,1.042000055,-0.064999998,1.042999983
311222,2001,6.6,266.3,4.7,10.3,162.3,11030.5,8829.8,2253.1,163.6,787.7,314.7,3080.4,2230.2,850.2,0.699999988,0.864000022,0.976000011,1.279999971,0.054000001,1.31099999,0.052999999,1.31099999
311223,2001,1.8,62.6,1.3,2.8,37.5,1367.2,1007.3,294.7,25.3,397.8,52.7,968.8,611.5,357.3,0.745000005,0.726000011,0.99000001,1.22300005,0.024,1.103999972,0.023,1.103999972
311225,2001,7.7,273.9,5.7,11.4,184.2,6218.4,4497,1713.3,117.9,317.9,106.5,2397,1649.6,747.3,0.930000007,0.889999986,0.981999993,1.251999974,-0.016000001,0.970000029,-0.016000001,0.971000016
311230,2001,14,739.9,11.6,25.4,583.2,11412.8,2700.2,8700.4,286.4,404.6,116.2,5349.3,3963.3,1386,0.985000014,0.990999997,0.961000025,1.220999956,0.022,1.225999951,0.022,1.225999951
