naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
326140,2000,34.1,988.8,27.1,54.7,669.1,6472.9,3271.2,3245.2,321.3,563.1,166.3,3390.4,2269.1,1121.3,1.011000037,0.989000022,1.023000002,1.082999945,-0.015,1.008999944,-0.015,1.008999944
326150,2000,37.1,1084.8,30.1,57.8,713.2,7394.2,4138,3245.9,191.6,532.8,89,3462.2,2267.5,1194.7,0.990999997,0.989000022,1.011000037,1.085999966,0.026000001,1.075999975,0.026000001,1.075999975
326160,2000,37.3,1132.7,31.3,64.5,881.4,7982,4245,3781.9,438.9,712.3,280.7,4768.7,3839.2,929.5,1.029999971,1.082000017,1.004999995,1.006999969,-0.041999999,1.02699995,-0.041999999,1.02699995
326191,2000,24.1,604.5,18.5,34.4,365.6,2943.9,1271.7,1667.2,72.7,200.2,28.2,600.4,423.4,177,1.032999992,1.039000034,1.011000037,1.054999948,0.006,1.098999977,0.006,1.098999977
326192,2000,5.3,235.2,3.9,8.1,154.9,1539.3,781.4,753.1,55.4,244.8,39.3,799.2,481.6,317.5,0.998000026,1.006000042,1.014000058,1.06099999,-0.066,0.901000023,-0.066,0.901000023
326199,2000,554.9,16162.9,441.1,870.6,10475.2,75893.2,35384.8,40854.3,3609.4,7155.3,1518.4,32707.2,23535.4,9171.8,1.019999981,1.039000034,1.011000037,1.031999946,-0.002,1.014000058,-0.002,1.014000058
326211,2000,66.4,3022.7,56.7,113.1,2454.7,14620.4,6929.5,7681.2,712.1,1189.2,321,9483.3,5585.1,3898.2,0.976999998,0.961000025,1.004999995,1.078999996,0.006,1.00999999,0.007,1.00999999
326212,2000,7.7,205.3,5.1,10.9,123.4,993.8,592.7,405.8,28.9,86.5,17.3,309.6,173.5,136.1,0.986999989,0.961000025,1.011000037,1.049000025,0.02,0.959999979,0.021,0.959999979
326220,2000,25.1,823.9,19.3,40,549.5,4242.9,2065.2,2213.6,138.8,535.9,74.7,1895.4,1120.2,775.3,1.021999955,0.996999979,1.00999999,1.065999985,-0.052999999,0.953999996,-0.052999999,0.953999996
326291,2000,60.4,1888.2,48.6,102.6,1281.1,7746.2,3324.4,4439.2,319.6,528.8,152.5,2971.9,1931.8,1040.1,1.011000037,0.986999989,1.00999999,1.067000031,-0.017999999,0.995000005,-0.017999999,0.995000005
326299,2000,48.9,1530.7,37,74.1,938.8,8468.6,4427.1,4079.5,277.4,778,170.9,3003.8,1997.1,1006.7,1.006999969,0.986999989,1.011000037,1.072999954,0.003,0.954999983,0.003,0.953999996
327111,2000,8.6,290.5,7,15,227.2,1233.1,289.8,931.8,18.8,96.8,43,343.7,231.3,112.4,1.018000007,1.024000049,0.973999977,1.108999968,0.050000001,1.103000045,0.050000001,1.103000045
327112,2000,18.7,489.5,15.1,29.1,325.4,1621.1,524.8,1107.9,74.7,296.1,48.7,795.5,531.9,263.6,1.062999964,1.041000009,0.991999984,1.095000029,-0.075999998,0.916999996,-0.075999998,0.916999996
