Date,Open,High,Low,Close,Volume,Adj Close
2004-01-01,5600,9320,5560,8950,13925700,8902.58
2004-02-02,8820,10150,7960,8970,12570100,8922.47
2004-03-01,8970,12350,8970,12250,14959700,12185.09
2004-04-01,12450,14300,10450,11900,11638600,11836.95
2004-05-03,11850,13850,9100,11250,17530500,11190.39
2004-06-01,11300,13100,10300,12650,12393300,12582.97
2004-07-01,12800,12950,8820,9000,8044100,8952.31
2004-08-02,8910,10750,8270,10450,7294600,10394.63
2004-09-01,10450,11600,9710,10500,5777900,10444.37
2004-10-01,10600,15150,10600,12700,14012300,12632.71
2004-11-01,12800,13000,10050,10350,9077500,10295.16
2004-12-01,10250,11950,10100,11650,5859300,11588.27
2005-01-03,11800,13250,11350,13000,7588200,12931.12
2005-02-01,13050,16350,12650,15050,9155400,14970.26
2005-03-01,15050,15300,12500,13050,6117000,12980.85
2005-04-01,13000,14200,11950,12100,4566600,12035.89
2005-05-02,12250,15950,12050,15900,5241400,15815.75
2005-06-01,15750,17750,15100,17000,4881400,16909.92
2005-07-01,16900,24550,16700,23900,9709300,23773.37
2005-08-01,23900,25550,20050,21400,8109500,21286.61
2005-09-01,21850,25450,21150,23000,8805100,22878.13
2005-10-03,23000,24150,19000,19050,11073600,18949.06
2005-11-01,19200,24800,19200,21900,12290900,21783.96
2005-12-01,21900,35300,21900,35300,14370900,35112.96
2006-01-02,36100,39050,29600,37300,15145400,37102.36
2006-02-01,36850,37250,28950,33250,11500000,33073.82
2006-03-01,33250,33850,26200,28900,8095800,28746.87
2006-04-03,29300,34550,29150,32950,7040400,32775.41
2006-05-02,32600,34850,30100,32000,5548500,31830.45
2006-06-01,31800,32300,26150,30750,6601800,30587.07
2006-07-03,31300,32950,29900,32500,4448400,32327.8
2006-08-01,32600,37150,32150,36800,4784100,36605.01
2006-09-01,36950,40300,35700,37300,5770200,37102.36
2006-10-02,37450,38150,33100,34200,5359300,34018.79
2006-11-01,34300,36350,33050,35300,3926800,35112.96
2006-12-01,35450,37500,34400,36450,2853300,36256.87
2007-01-01,36450,37700,31000,31250,5204600,31084.42
2007-02-01,31200,33100,30250,31150,5655500,30984.95
2007-03-01,31150,33300,30850,32400,4259900,32228.33
2007-04-02,32750,34650,31300,32050,5807900,31880.18
2007-05-01,32050,33550,27700,28750,5930400,28597.67
2007-06-01,29900,35350,29750,33350,8062500,33173.29
2007-07-02,33000,40000,32550,37600,6189100,37400.77
2007-08-01,36900,39500,31550,33750,5531000,33571.17
2007-09-03,33900,33900,28650,31300,5716400,31134.15
2007-10-01,31450,31700,22600,25000,7179700,24867.54
2007-11-01,25550,25900,22100,25900,4940100,25762.77
2007-12-03,25750,28150,23500,25950,3731900,25812.5
2008-01-01,25950,26650,21800,26000,4998600,25862.24
2008-02-01,26050,27200,23100,24550,3516200,24419.92
2008-03-03,23850,28000,22750,27850,4837400,27702.44
2008-04-01,27650,30200,26400,26800,5340700,26658
2008-05-01,26800,31300,26800,31000,4246800,30835.74
2008-06-02,30900,31950,24900,25000,3733400,24867.54
2008-07-01,25100,25250,21100,21650,4977600,21535.29
2008-08-01,21350,24200,19200,19400,3860400,19297.21
2008-09-01,18900,21200,16750,19350,6304200,19247.47
2008-10-01,19650,20050,8000,10800,9772200,10742.78
