Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,6050,6260,5250,5270,1293200,5053.24
2004-02-02,5270,5750,4800,5680,972800,5446.37
2004-03-02,5720,7120,5550,6410,1953700,6146.35
2004-04-01,6380,11000,6380,9400,3443900,9013.37
2004-05-03,9450,9910,5900,8130,3159800,7795.6
2004-06-01,8130,8730,6730,7700,1799500,7383.29
2004-07-01,7830,8270,6950,8030,1144800,7699.71
2004-08-02,8030,9530,7580,9160,1485700,8783.24
2004-09-01,9250,11650,9210,11400,1954700,10931.1
2004-10-01,11400,11950,9770,11100,1885900,10643.44
2004-11-01,11200,13150,11000,12700,1492100,12177.63
2004-12-01,12700,14850,12300,13750,1067900,13184.44
2005-01-03,13700,14000,11450,13650,1326900,13088.56
2005-02-01,13750,20300,13750,18700,1163800,17930.84
2005-03-02,18550,19950,16250,18900,889900,18122.62
2005-04-01,18900,19450,14600,15850,824800,15198.07
2005-05-02,16150,16800,14150,16450,735900,15773.39
2005-06-01,16250,18650,15250,17550,685300,16828.14
2005-07-01,17450,19750,17100,18800,750300,18026.73
2005-08-01,18700,20500,17000,19350,770000,18554.11
2005-09-01,19500,24350,17600,24350,1353900,23348.45
2005-10-04,23850,24200,18900,19500,920500,18697.94
2005-11-01,19300,27200,19300,25600,1108500,24547.04
2005-12-01,25500,34150,25200,34000,916500,32601.53
2006-01-02,33800,37350,25100,32800,1447700,31450.89
2006-02-01,32200,33900,26900,30350,962700,29101.66
2006-03-02,30800,31500,25400,29750,645900,28526.34
2006-04-03,29650,32350,29100,29500,583000,28286.62
2006-05-02,29150,30850,23750,25500,524900,24451.15
2006-06-01,25050,25950,19850,22700,1056500,21766.32
2006-07-03,22800,26000,21600,25000,693600,23971.71
2006-08-01,24700,28600,24200,28250,562800,27088.04
2006-09-01,28250,29850,24750,29850,727900,28622.23
2006-10-02,29500,32100,26000,32000,647300,30683.8
2006-11-01,32200,36650,30550,36000,584000,34519.27
2006-12-01,35750,36300,32450,35000,535900,33560.4
2007-01-02,35250,37000,30800,31950,496900,30635.85
2007-02-01,32400,36800,32200,33300,604700,31930.32
2007-03-02,32900,40100,31350,38350,590000,36772.61
2007-04-02,38200,47500,38150,44800,875500,42957.31
2007-05-02,44300,54700,42700,54700,827300,52450.11
2007-06-01,54500,56500,45800,53800,864500,51587.13
2007-07-02,54500,64700,53100,58300,667800,55902.04
2007-08-01,57500,61500,49100,60400,619500,57915.66
2007-09-03,60800,73000,59700,71900,643400,68942.66
2007-10-01,72000,94800,71200,88400,689500,84763.98
2007-11-01,89700,90500,59300,69800,690300,66929.03
2007-12-03,70100,75900,66300,70800,428700,67887.9
2008-01-02,70200,75300,44550,48000,680600,46025.7
2008-02-01,49200,60100,47900,58200,689600,55806.15
2008-03-03,55400,57800,43750,52400,604700,50244.71
2008-04-01,54500,62600,44800,47300,1568600,45354.48
2008-05-02,48000,48450,40500,41800,946700,40080.71
2008-06-02,43000,44300,37000,37000,586700,35478.14
2008-07-01,36800,41900,29500,41700,863500,39984.82
