Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,11050,12600,10900,10950,2167400,10442.88
2004-02-02,10850,11200,9940,10900,1352600,10395.2
2004-03-02,11050,12300,10300,11800,1448000,11253.52
2004-04-01,11800,12450,10850,10900,1395700,10395.2
2004-05-03,11000,11400,9260,9530,1653200,9088.65
2004-06-01,9600,10450,8870,9870,931000,9412.9
2004-07-01,9950,10100,8640,9100,801600,8678.56
2004-08-02,9000,10600,8450,10100,1000100,9632.25
2004-09-01,10050,11450,10050,10600,955200,10109.09
2004-10-01,10500,11650,10000,10500,1388300,10013.72
2004-11-01,10450,11550,9920,9990,1366600,9527.34
2004-12-01,9980,11000,9720,10900,1715400,10395.2
2005-01-03,11000,13050,10450,12600,1898100,12016.47
2005-02-01,12550,14600,12100,14200,3037700,13542.37
2005-03-02,14400,15800,13700,14000,2260500,13351.63
2005-04-01,13800,15500,12300,12350,1577000,11778.04
2005-05-02,12450,14450,12200,14450,965900,13780.79
2005-06-01,14250,14650,13300,13750,1093500,13113.21
2005-07-01,13550,15950,13500,15700,1657000,14972.9
2005-08-01,15700,16800,14650,15300,1465900,14591.42
2005-09-01,15500,21800,15500,19500,2770800,18596.91
2005-10-04,19550,19900,16800,18750,1828500,17881.65
2005-11-01,18750,26750,18650,24700,3128000,23556.09
2005-12-01,24000,27200,23000,26550,3490800,25320.41
2006-01-02,27000,28150,20050,22500,4594100,21457.98
2006-02-01,22350,22950,19150,21100,3861700,20122.81
2006-03-02,21000,22150,19250,19950,2048700,19026.07
2006-04-03,19850,21650,18950,19400,2985300,18501.54
2006-05-02,19050,19150,16100,16250,2736100,15497.43
2006-06-01,16100,16650,15200,16250,1467200,15497.43
2006-07-03,16200,16450,12900,14250,1645200,13590.05
2006-08-01,14300,16100,13750,15300,2152700,14591.42
2006-09-01,15600,16650,15150,15350,1942900,14639.11
2006-10-02,15400,15900,13900,14250,1491500,13590.05
2006-11-01,14300,14850,13950,14100,1235700,13447
2006-12-01,14000,14000,12300,13450,1473300,12827.1
2007-01-02,13400,13700,10950,11500,1330800,10967.41
2007-02-01,11600,13600,11450,12150,1675900,11587.31
2007-03-02,11950,13050,11950,12700,1232700,12111.84
2007-04-02,13150,13900,11000,11100,2857700,10585.94
2007-05-02,11150,12400,11000,11950,2420200,11396.57
2007-06-01,12200,14900,12000,14400,3774200,13733.11
2007-07-02,14350,15650,14000,14050,3081500,13399.31
2007-08-01,13950,14150,11200,12700,3211800,12111.84
2007-09-03,12800,13450,11600,12450,1880300,11873.41
2007-10-01,12450,12500,9140,10350,3891800,9870.67
2007-11-01,10550,10550,9390,10150,1883700,9679.93
2007-12-03,10200,10750,9790,10100,1651100,9632.25
2008-01-02,10050,10600,8860,10350,2323200,9870.67
2008-02-01,10500,10600,9640,9740,1601800,9288.92
2008-03-03,9580,11900,9510,11400,2905100,10872.04
2008-04-01,11450,13850,10650,13350,3945900,12731.73
2008-05-02,13400,14350,11950,12200,2791200,11634.99
2008-06-02,12150,12550,11000,11050,2680700,10538.25
2008-07-01,11150,13150,10150,12600,3310900,12016.47
2008-08-01,12550,13800,12100,13100,3358900,12493.31
2008-09-01,12800,14850,11600,14650,4836100,13971.53
2008-10-01,14900,15400,7760,10700,8313200,10204.46
2008-11-03,10900,11150,5720,7000,10385300,6675.81
2008-12-01,7100,8570,6080,6550,12223200,6246.66
2009-01-02,6700,7930,6570,7870,7189800,7505.52
2009-02-02,7890,9200,6550,6710,8478000,6399.25
2009-03-02,6750,9070,6100,8530,8921500,8134.96
2009-04-01,8570,11300,8540,11250,8169300,10728.99
2009-05-04,11600,13700,10800,11950,6969500,11396.57
2009-06-01,12050,13600,11200,12600,4829100,12016.47
2009-07-01,12550,16050,12250,15350,6213600,14639.11
2009-08-03,15600,18000,15350,16900,7119800,16117.32
2009-09-01,16750,19200,15600,18600,8688800,17738.59
2009-10-01,18750,19100,16000,18000,6356100,17166.38
2009-11-02,17400,18700,16050,17150,3256500,16355.75
2009-12-01,17250,20900,17150,20050,4313500,19324.79
2010-01-04,20100,21100,18350,19550,5598300,18842.87
2010-02-01,19950,22000,19800,21750,4288400,20963.29
2010-03-02,22050,26450,20850,25250,4369900,24336.7
2010-04-01,25200,27600,24500,27400,5243800,26408.93
2010-05-03,27400,32400,26700,31300,7148400,30167.87
2010-06-01,31250,34300,30050,32700,5717200,31517.23
2010-07-01,32200,33200,29050,30900,3774400,29782.34
2010-08-02,31300,32800,29500,30800,3022200,29685.95
2010-09-01,31500,37700,30850,36800,4308800,35468.93
2010-10-01,36800,45150,36600,44900,3396800,43275.95
2010-11-01,45900,53200,45800,48950,4629200,47179.46
2010-12-01,48900,53300,48700,50600,3022300,49186.73
2011-01-03,51100,60300,50800,54700,4290700,53172.22
2011-02-01,54900,58800,54000,57400,3078100,55796.8
2011-03-02,57400,69800,56700,69000,3750100,67072.81
2011-04-01,69000,84600,67800,76900,4788600,74752.16
2011-05-02,76800,77600,66700,75700,4435400,73585.69
2011-06-01,76000,76400,66100,72300,3018500,70280.65
2011-07-01,73200,79700,71700,77400,2616800,75238.2
2011-08-01,79000,80900,58100,70600,5272000,68628.12
2011-09-01,71000,72700,63600,71900,2649500,69891.82
2011-10-04,69000,75700,66100,72300,2810900,70280.65
2011-11-01,72500,77800,67500,69800,2043900,67850.47
2011-12-01,72300,73000,64000,66700,1466200,65338.05
2012-01-02,66700,69900,65700,67500,1818200,66121.71
2012-02-01,67200,72800,64800,70700,2422300,69256.38
2012-03-01,70700,75900,70200,74100,1697300,72586.95
2012-04-02,74500,83700,74400,83400,2070700,81697.05
2012-05-01,83400,84800,72800,80200,1540600,78562.39
2012-06-01,79800,81000,72500,74700,1200700,73174.7
2012-07-02,75600,79000,72000,78100,1381000,76505.27
