Date,Open,High,Low,Close,Volume,Adj Close
2004-01-01,6590,7700,6420,6880,383500,6540.07
2004-02-02,7030,8340,6920,7700,300600,7319.56
2004-03-01,7700,8150,6300,7350,322500,6986.85
2004-04-01,7310,7950,7150,7400,242000,7034.38
2004-05-03,7550,7940,6660,6850,266700,6511.55
2004-06-01,6850,7040,5820,6170,151100,5865.15
2004-07-01,6280,6950,6050,6750,131600,6416.49
2004-08-02,6850,8560,6310,8530,191300,8108.55
2004-09-01,8540,11350,8540,11250,242200,10694.16
2004-10-01,11200,12500,10150,10400,334900,9886.15
2004-11-01,10300,15450,10250,13550,487300,12880.52
2004-12-01,13450,14700,10550,11800,530400,11216.98
2005-01-03,11950,12100,9900,11800,438200,11216.98
2005-02-01,11600,13450,10500,12800,462600,12167.57
2005-03-01,12800,14300,11900,14150,440400,13450.87
2005-04-01,14000,15050,11900,12300,805900,11692.28
2005-05-02,12400,13950,11600,13950,254500,13260.75
2005-06-01,13900,17300,13500,17000,405800,16160.06
2005-07-01,16800,19450,15600,18500,477900,17585.95
2005-08-01,18600,19850,16050,17800,304500,16920.53
2005-09-01,17700,20900,17450,19700,565300,18726.66
2005-10-03,19700,24750,17900,22600,619700,21483.37
2005-11-01,23250,30700,23200,29950,619000,28470.22
2005-12-01,30350,39000,28900,37950,507600,36074.95
2006-01-02,39000,39300,25200,34850,753100,33128.12
2006-02-01,34300,35350,29700,34000,386200,32320.12
2006-03-01,34000,34650,28450,32100,327700,30513.99
2006-04-03,32200,38400,32200,34150,400600,32462.71
2006-05-02,34200,37200,28800,29300,324600,27852.34
2006-06-01,28850,34400,26500,34400,355600,32700.35
2006-07-03,34900,37650,32200,35800,292100,34031.18
2006-08-01,35800,37150,30150,36500,340000,34696.6
2006-09-01,36150,40350,35250,39350,236100,37405.78
2006-10-02,39600,39800,34850,36000,429900,34221.3
2006-11-01,36250,39400,35200,38700,375300,36787.9
2006-12-01,38800,44250,37950,44250,289200,42063.68
2007-01-01,44250,45450,39800,44600,235200,42396.39
2007-02-01,44950,50300,43250,49700,348500,47244.41
2007-03-01,49700,63200,47850,60800,406700,57795.97
2007-04-02,60300,86600,60300,73500,679100,69868.49
2007-05-01,73500,95500,67100,95500,773000,90781.51
2007-06-01,95000,99500,80200,88600,427400,84222.42
2007-07-02,88300,105500,88300,97600,390700,92777.75
2007-08-01,95000,99400,70300,90000,438300,85553.25
2007-09-03,90000,107500,81100,96700,328000,91922.22
2007-10-01,96700,177500,96700,164500,537000,156372.33
2007-11-01,167000,191500,110000,140000,830700,133082.83
2007-12-03,141000,147500,113000,126000,322300,119774.55
2008-01-01,126000,142000,89000,92100,590300,87549.49
2008-02-01,96500,142000,96100,139500,478400,132607.55
2008-03-03,135000,137500,111500,132500,481200,125953.4
2008-04-01,135000,135000,101000,105500,707500,100287.42
2008-05-01,105500,125000,101500,122500,623800,116447.48
2008-06-02,122000,124500,99000,99000,544700,94108.58
2008-07-01,99200,101500,79400,100000,619000,95059.17
2008-08-01,99100,104000,78400,78400,639300,74526.39
2008-09-01,73700,95700,67000,86900,730100,82606.41
2008-10-01,87800,87900,37300,55500,1040600,52757.84
2008-11-03,56000,67800,43200,52600,1157100,50001.12
2008-12-01,53900,70000,52300,62900,749900,59792.22
2009-01-01,62900,73100,60400,72200,496900,68632.72
2009-02-02,71100,78900,57800,59800,536500,56845.38
