cost
372385 
361237 
400808 
405511 
469566 
437938 
425266 
413749 
411876 
471490 
549037 
397100 
407900 
563900 
572200 
587600 
583900 
543000 
551500 
557200 
591600 
636300 
581000 
689300 
543400 
558500 
619100 
497200 
528900 
517300 
596000 
548800 
592100 
602900 
590300 
607400 
478900 
539500 
582900 
559300 
583900 
629000 
529600 
605300 
552400 
575200 
623200 
552100 
513900 
494700 
572300 
529500 
610700 
538900 
558600 
594600 
544400 
463900 
467600 
484100 
441800 
426700 
485300 
534100 
561200 
474200 
544800 
545900 
511800 
506900 
412000 
474100 
382100 
416900 
463400 
422000 
366900 
326500 
397600 
420700 
516900 
557000 
490200 
583200 
431300 
453400 
535900 
493100 
558300 
522800 
502700 
514900 
482600 
549400 
491300 
517400 
454800 
500400 
486100 
417700 
449500 
461400 
460300 
539800 
501600 
542700 
503100 
475600 
415400 
457000 
513400 
446600 
546100 
525400 
457200 
500500 
452300 
509400 
481400 
455100 
438300 
445100 
500800 
464500 
489700 
471000 
490000 
583800 
448400 
597700 
636300 
527900 
593900 
560100 
853600 
659100 
700500 
597000 
592800 
632100 
886400 
1464400 
1155800 
1023400 
946500 
1106600 
987800 
794600 
643400 
699200 
668200 
738500 
757300 
832000 
815300 
793000 
700300 
718000 
756500 
772000 
1110400 
963900 
799400 
866500 
753900 
958600 
979100 
942800 
690400 
763800 
963500 
798900 
938900 
910300 
962900 
1248800 
1374100 
1235900 
1271300 
1238100 
1009500 
1040700 
1183500 
1307900 
1391800 
1146600 
1113200 
1074700 
1050400 
1158100 
995500 
976200 
1026500 
944500 
1154000 
1186800 
1125300 
1195700 
1218600 
1062100 
1324600 
1447800 
1262500 
1354600 
1199300 
