Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,34.5,37.2,33.26,34.18,752900,30.27
2004-02-02,34.7,37.4,33.75,37.29,507000,33.03
2004-03-01,37.45,38.74,33.41,35.39,585100,31.35
2004-04-01,35.49,39.5,30.23,30.75,937100,27.24
2004-05-03,29.5,32.53,27.26,31.8,1341800,28.17
2004-06-01,30.5,33.93,29.52,33.51,909300,29.88
2004-07-01,33.51,36.71,32.47,36.28,855200,32.35
2004-08-02,35.75,36.96,34.55,36.18,725400,32.26
2004-09-01,36.5,40.5,36.35,37.85,698400,33.75
2004-10-01,38.63,41.2,35.99,37.39,896500,33.34
2004-11-01,37.3,47.48,37.1,47.24,707000,42.12
2004-12-01,46.91,48.49,42.06,44.53,764600,40.76
2005-01-03,44.54,45.6,41.16,45,893500,41.19
2005-02-01,44.95,55.08,44.43,54.25,828200,49.65
2005-03-01,54.5,55.65,47.06,49.36,1011700,45.18
2005-04-01,49.99,50.17,44.29,45.53,967400,41.67
2005-05-02,45.81,48.09,43.11,44.92,832600,41.11
2005-06-01,44.9,46.9,43.7,43.97,661800,40.59
2005-07-01,44,50.29,43.8,49.9,692000,46.07
2005-08-01,50,54.3,49.05,52.25,630100,48.24
2005-09-01,52.7,57.65,51.6,56.56,560500,52.21
2005-10-03,56.1,56.5,47.28,51.29,767500,47.35
2005-11-01,51.55,53.85,48.88,49.76,738600,45.94
2005-12-01,49.89,51.17,47.39,49.51,570100,45.71
2006-01-03,49.88,58.9,48.91,57.39,1037400,52.98
2006-02-01,57.48,60.98,52.5,58.44,790700,53.95
2006-03-01,58.55,64.52,57.25,63.8,731700,58.9
2006-04-03,64.15,72.98,61.5,70.47,844000,65.06
2006-05-01,70.88,76.2,61.63,64.3,1034800,59.36
2006-06-01,64.05,67.64,55.5,66.9,985400,61.76
2006-07-03,66.95,67.06,57.9,61.74,984200,57
2006-08-01,61.54,63.38,58.64,62.11,656000,57.34
2006-09-01,62.16,65.2,59.45,64.93,728500,59.94
2006-10-02,64.28,70.77,62.62,70.52,753000,65.1
2006-11-01,70.33,78.97,70,78.86,784700,72.8
2006-12-01,80.05,86.16,77.77,82.67,779100,76.32
2007-01-03,80.45,88.52,75.26,88.18,761900,81.41
2007-02-01,90.1,100.27,89.6,92.7,780600,85.58
2007-03-01,92.2,107.31,88,103.95,886400,95.96
2007-04-02,105,108.2,97.68,104.74,759600,96.69
2007-05-01,105.16,120.59,103.85,119.3,669400,110.14
2007-06-01,122.15,131.93,114.56,120,797700,111.42
2007-07-02,123.39,154.98,123,142.45,829800,132.26
2007-08-01,139.98,153.96,118.5,153.31,899000,142.35
2007-09-04,153.31,186.49,144.14,178.77,787900,165.99
2007-10-01,184.41,201,151.88,183.75,1041000,170.61
2007-11-01,171.82,175.5,146.55,157.87,702200,146.58
2007-12-03,155.05,173.74,145.66,150.41,475300,141.47
2008-01-02,149.04,151.1,119.8,135.5,1051300,127.44
2008-02-01,134.02,148,124.24,135.3,833400,127.26
2008-03-03,136.66,136.66,104.98,118.98,1034900,111.91
2008-04-01,119.01,134.47,112.03,123.4,866200,116.06
2008-05-01,122.78,147.5,121.25,136.65,717000,128.53
2008-06-02,138.96,147.05,123.83,129.78,730300,122.06
2008-07-01,126.53,134.16,115.33,132.65,876200,124.76
2008-08-01,130.22,131.6,105.5,107.1,568600,100.73
2008-09-02,106.96,107.5,86,93.37,1080500,87.82
2008-10-01,90.89,92.62,40.01,67.19,1453500,63.2
2008-11-03,69.34,72.1,42.35,57.75,1532600,54.32
2008-12-01,56.5,77.41,51.56,75.25,883600,70.78
2009-01-02,75.91,81.36,59.19,63.52,649000,59.74
2009-02-02,63.34,75.47,50.03,50.17,714800,47.19
2009-03-02,48.95,72.66,47.09,66.83,851700,62.86
2009-04-01,66.55,79,66.5,76.97,641600,72.39
2009-05-01,77.83,89.3,76,83.89,663500,78.9
2009-06-01,84.66,88.09,77.26,82.67,510600,77.76
2009-07-01,84.96,102.43,79.22,101.07,663500,95.06
2009-08-03,103.75,104.51,89.94,91.46,404400,86.02
2009-09-01,92.15,150.5,89.4,103.94,472600,97.76
2009-10-01,104.25,118.41,99.41,102.12,673200,96.05
2009-11-02,105.18,125.27,102.33,119.2,445600,112.11
2009-12-01,122.36,133,118.32,131.1,327100,123.31
2010-01-04,133.61,140.34,112.14,112.95,567600,106.23
2010-02-01,114.99,121.12,107.22,115.46,402600,108.6
2010-03-01,115.46,125.36,114.84,117.01,411100,110.05
2010-04-01,117.59,125.97,111.96,112.16,442100,105.49
2010-05-03,111.3,111.3,87.8,96.37,729300,90.64
2010-06-01,94.37,105.78,88.8,94.32,593400,89.09
2010-07-01,94.44,110.66,92.34,104.01,436000,98.24
2010-08-02,106.54,111,99.97,100.96,331000,95.36
2010-09-01,103.3,114.41,102.14,113.98,314100,107.66
2010-10-01,116.38,120.98,102.51,103.94,444900,98.18
2010-11-01,105.1,109.92,94.85,98.44,449400,92.98
2010-12-01,99.97,108.27,99.86,107.69,291200,103.35
2011-01-03,109.26,113.29,100,102.14,415400,98.02
2011-02-01,103.88,110.3,100.4,103.08,418300,98.93
2011-03-01,103.08,118,100,114.29,432200,109.68
2011-04-01,115,117.37,107.71,110.3,358500,105.86
2011-05-02,111.6,112.16,99.61,102.02,392900,97.91
2011-06-01,101.8,109.17,95.22,108.62,333800,104.7
2011-07-01,108.49,113.24,104.25,109.8,259300,105.84
2011-08-01,111.49,111.95,86.73,95.14,371100,91.71
2011-09-01,95.6,99.85,75.74,76.01,341200,73.27
2011-10-03,75.47,89.69,70.47,85.92,369800,82.82
2011-11-01,82.72,86.87,75.19,85.65,265300,82.56
2011-12-01,87.21,89,79.88,82.1,297600,80.37
2012-01-03,84.59,94.25,80,91.76,316000,89.83
2012-02-01,92,94.33,89.54,92.5,211900,90.55
2012-03-01,91.64,95.27,82.14,83.7,308600,81.94
2012-04-02,84.42,85.53,79.86,83.25,251800,81.5
2012-05-01,83.7,84.79,74.19,75.73,312400,74.14
2012-06-01,74.06,83.3,74.05,80.44,259200,79.13
2012-07-02,80.52,83.45,76.5,79.53,206500,78.23
2012-08-01,81.45,85.82,79.41,81.5,190500,80.17
2012-09-04,79.81,86.28,78.21,81.54,196900,80.21
2012-10-01,81.81,82.75,77.48,78.38,175900,77.1
2012-11-01,77.28,78.72,71.32,74.39,195100,73.18
2012-12-03,74.83,83.35,73.39,82.15,216900,82.15
2013-01-02,85.02,87.04,80.82,81.46,243000,81.46
2013-02-01,82.57,85.77,80.51,80.69,218900,80.69
2013-03-01,80.68,81.18,72.07,73.71,337300,73.71
2013-04-01,73.02,73.7,68,71.99,300200,71.99
2013-05-01,71.79,75.03,70.65,70.65,228000,70.65
2013-06-03,71.08,72.63,62.3,65.08,262100,65.08
2013-07-01,65.5,73.66,63.5,71.68,154200,71.68
2013-08-01,72.51,76.09,71.1,72.02,207900,72.02
2013-09-03,73.18,78.79,72.95,73.64,225300,73.64
2013-10-01,72.71,77.69,71.71,74.46,164800,74.46
2013-11-01,75,77.77,74.35,77.49,148400,77.49
2013-12-02,78.5,80.46,77.05,78,238700,78
2014-01-02,76.97,77,66.71,67.99,310600,67.99
2014-02-03,67.98,70.22,66.31,66.56,297700,66.56
2014-03-03,65.21,70.07,63.71,69.41,326800,69.41
2014-04-01,70.48,70.76,70.44,70.75,480200,70.75
