Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,2810,3060,2790,2890,97900,2766.63
2004-02-02,2890,3090,2750,2955,103200,2828.85
2004-03-02,2970,3180,2530,2740,94600,2623.03
2004-04-01,2715,2890,2610,2680,66600,2565.59
2004-05-03,2670,2760,2210,2330,39200,2230.53
2004-06-01,2330,2355,2030,2150,19200,2058.22
2004-07-01,2130,2185,1940,1990,24800,1905.05
2004-08-02,1970,2185,1970,2100,55100,2010.35
2004-09-01,2100,2280,2065,2070,54100,1981.63
2004-10-01,2080,2225,2000,2045,45800,1957.7
2004-11-01,2035,2230,2030,2075,46900,1986.42
2004-12-01,2085,2725,2070,2680,127300,2565.59
2005-01-03,2715,3645,2600,3445,191400,3297.93
2005-02-01,3405,4640,3280,4610,346500,4413.2
2005-03-02,4880,5650,3700,3840,648100,3676.07
2005-04-01,3750,4280,2995,2995,182600,2867.14
2005-05-02,3005,3865,3005,3745,121300,3585.13
2005-06-01,3710,4295,3690,4290,250200,4106.86
2005-07-01,4290,5480,4270,5080,491500,4863.14
2005-08-01,5030,5170,4340,4645,227200,4446.71
2005-09-01,4700,9100,4690,8100,2163600,7754.21
2005-10-04,8050,8660,6960,7180,644800,6873.49
2005-11-01,7150,10500,7150,10300,931200,9860.29
2005-12-01,10250,13550,9850,13350,1185900,12780.09
2006-01-02,13600,14650,9250,12050,881700,11535.59
2006-02-01,11850,12550,9850,11650,674800,11152.66
2006-03-02,11700,11750,9100,9490,282800,9084.87
2006-04-03,9600,11900,9570,11050,659000,10578.28
2006-05-02,11000,11450,8510,8750,289200,8376.46
2006-06-01,8700,8700,6630,7890,169000,7553.18
2006-07-03,7890,8350,7000,8000,143200,7658.48
2006-08-01,8000,9400,7690,9200,180400,8807.25
2006-09-01,9210,9490,8300,8750,148600,8376.46
2006-10-02,8690,8800,7500,8530,160200,8165.86
2006-11-01,8680,10700,8530,10450,254800,10003.89
2006-12-01,10500,11450,10050,10950,355700,10482.55
2007-01-02,11000,11100,8800,9120,200100,8730.67
2007-02-01,9210,11000,9060,9820,215500,9400.79
2007-03-02,9800,10350,9530,9670,161000,9257.19
2007-04-02,9610,14350,9580,13550,842200,12971.55
2007-05-02,14100,16400,13650,15650,954600,14981.9
2007-06-01,15950,25200,15000,17400,1976600,16657.2
2007-07-02,17700,34300,17600,26800,2842300,25655.91
2007-08-01,26100,31000,20900,26100,1583500,24985.79
2007-09-03,26500,27600,20400,22600,697600,21635.21
2007-10-01,22850,25700,18500,21300,570800,20390.71
2007-11-01,21900,21950,14950,16200,273800,15508.42
2007-12-03,16250,21650,15700,20700,551100,19816.32
2008-01-02,20550,24900,17450,18100,1485200,17327.31
2008-02-01,18650,23600,17800,22850,670600,21874.54
2008-03-03,22100,24250,18250,19100,572300,18284.62
2008-04-01,19400,21100,17050,17750,595000,16992.26
2008-05-02,18100,22600,14400,22500,1250900,21539.48
2008-06-02,22700,23000,15500,15850,1017400,15173.37
2008-07-01,16000,16150,11900,13450,860400,12875.82
2008-08-01,13350,14400,10550,11000,470700,10530.41
2008-09-01,10750,12700,8200,12250,1151300,11727.05
2008-10-01,12350,12650,4800,7080,936100,6777.76
2008-11-03,7350,9190,5350,7370,900800,7055.38
2008-12-01,7470,9940,6950,7550,1170700,7227.69
2009-01-02,7750,8930,7220,8100,501700,7754.21
2009-02-02,8160,8880,6810,7110,464600,6806.48
2009-03-02,6950,9260,6180,8380,612700,8022.26
2009-04-01,8430,12000,8300,11300,1072600,10817.6
2009-05-04,11550,12700,10400,10800,806100,10338.95
2009-06-01,10800,14350,10800,13600,868900,13019.42
2009-07-01,13400,15350,13200,13850,1213600,13258.75
2009-08-03,14000,14500,12000,12350,379600,11822.78
2009-09-01,12200,13500,11400,11400,303800,10913.34
2009-10-01,11400,11700,9730,10000,129300,9573.1
2009-11-02,9510,10550,9510,9700,154400,9285.91
2009-12-01,9700,11850,9480,11100,267700,10626.14
2010-01-04,11050,12550,9990,10000,374000,9573.1
2010-02-01,10000,10450,9530,10050,117400,9620.97
2010-03-02,10150,10700,10000,10050,119800,9701.83
2010-04-01,10050,10950,9910,9930,197000,9585.99
2010-05-03,9900,9900,7850,8580,107800,8282.76
2010-06-01,8550,9260,7990,8120,119300,7838.69
2010-07-01,8100,9700,8020,9090,166400,8775.09
2010-08-02,9110,9460,8230,8360,90300,8070.38
2010-09-01,8430,9310,8370,9060,108300,8746.13
2010-10-01,9090,9940,9050,9200,163300,8881.28
2010-11-01,9220,9440,7940,8180,127100,7896.61
2010-12-01,8140,9250,8120,9070,104700,8755.78
2011-01-03,9150,9470,8450,8500,136900,8205.53
2011-02-01,8480,8700,7700,7810,57200,7539.43
2011-03-02,7750,7930,6700,7140,88000,6975.29
2011-04-01,7190,8050,7060,7490,167600,7317.22
2011-05-02,7530,7710,6410,6520,70600,6369.6
2011-06-01,6480,6550,5880,6380,48700,6232.82
2011-07-01,6400,6980,6150,6640,60000,6486.83
2011-08-01,6740,6840,4700,5390,76100,5265.66
2011-09-01,5440,5550,4100,4575,60000,4469.46
2011-10-04,4180,5200,4180,4945,65400,4830.93
2011-11-01,4865,5220,4755,5020,51400,4904.2
2011-12-01,5200,5480,4950,5350,47000,5226.58
2012-01-02,5360,6220,5090,6160,54600,6017.9
2012-02-01,6210,6950,6010,6150,82500,6008.13
2012-03-01,6150,6190,5440,5490,30800,5444.01
2012-04-02,5460,5860,4980,5020,20300,4977.95
2012-05-01,5020,5250,4620,4655,15500,4616.01
2012-06-01,4670,4700,4440,4625,15800,4586.26
2012-07-02,4700,4890,4515,4740,20000,4700.3
2012-08-01,4725,4960,4575,4575,27100,4536.68
2012-09-03,4580,5230,4520,4840,53400,4799.46
2012-10-01,4840,4900,4500,4610,26200,4571.39
2012-11-01,4610,4685,4370,4635,17400,4596.18
2012-12-03,4635,4915,4470,4845,22000,4804.42
2013-01-01,4845,5170,4785,5000,36500,4958.12
2013-02-01,5000,5760,4920,5430,45500,5384.52
2013-03-01,5430,5560,5000,5200,33500,5200
2013-04-01,5200,5240,4695,5030,28000,5030
2013-05-01,5030,5520,4935,5250,38200,5250
2013-06-03,5200,5260,4500,4780,29400,4780
2013-07-01,4770,4850,4615,4690,16500,4690
2013-08-01,4690,4825,4300,4390,18900,4390
2013-09-02,4350,4770,4350,4695,20100,4695
2013-10-01,4635,4790,4420,4555,21800,4555
2013-11-01,4530,4635,4300,4595,28700,4595
2013-12-02,4560,4640,4350,4420,15700,4420
2014-01-01,4420,4805,4340,4700,34700,4700
2014-02-03,4630,5260,4630,5170,60300,5170
2014-03-03,5250,6010,4950,5940,103100,5940
2014-04-01,5970,5980,5780,5940,141400,5940
