Date,Open,High,Low,Close,Volume,Adj Close
2004-01-01,28000,32950,28000,32100,187200,28835.6
2004-02-02,33200,49100,32200,42600,231100,38267.8
2004-03-01,42600,48300,38700,46000,180500,41322.04
2004-04-01,45550,57300,43750,46800,206600,42040.69
2004-05-03,47500,48600,35950,48000,356700,43118.65
2004-06-01,49000,50200,42700,48200,256900,43298.32
2004-07-01,47700,58300,44850,51600,232500,46352.55
2004-08-02,51000,54800,48550,49200,233700,44196.62
2004-09-01,48900,61700,48900,57200,206800,51383.06
2004-10-01,57400,61100,53500,56500,214600,50754.25
2004-11-01,56800,66200,56500,65800,210600,59108.49
2004-12-01,66300,69400,61400,67000,201000,60186.45
2005-01-03,65900,70200,56000,66000,256300,59288.15
2005-02-01,65200,76700,61800,73000,235500,65576.29
2005-03-01,73000,87100,71800,78800,293200,70786.46
2005-04-01,81000,86700,69200,69200,235300,62162.73
2005-05-02,69800,78300,67600,74500,295100,66923.74
2005-06-01,75500,85200,74500,82500,227600,74110.19
2005-07-01,81800,83500,74500,78200,286000,70247.48
2005-08-01,78100,81900,75200,76600,232800,68810.19
2005-09-01,78500,86900,78500,85500,316000,76805.1
2005-10-03,85500,86300,77200,78100,237700,70157.64
2005-11-01,77500,80000,74800,75800,248700,68091.54
2005-12-01,75400,76500,69800,70600,229700,63420.36
2006-01-02,69600,73400,68000,68600,339700,61623.74
2006-02-01,68100,70100,59300,69800,399900,62701.71
2006-03-01,69800,75500,66300,74600,223900,67013.58
2006-04-03,73200,75600,71700,73000,171700,65576.29
2006-05-02,72100,75000,67700,68100,173000,61174.59
2006-06-01,68700,68900,60400,67100,260800,60276.29
2006-07-03,67100,69600,64000,67300,246200,60455.95
2006-08-01,67300,69500,58100,65700,198100,59018.66
2006-09-01,65700,67100,62400,63300,232900,56862.73
2006-10-02,63300,66200,60400,64300,208900,57761.03
2006-11-01,64500,69400,63600,68100,139500,61174.59
2006-12-01,68300,71900,67200,68500,192400,61533.91
2007-01-01,68500,68900,63400,65300,199700,58659.34
2007-02-01,65700,69600,65200,68000,206800,61084.76
2007-03-01,68000,72100,62500,64800,529900,58210.18
2007-04-02,64800,72200,64000,71800,372300,64498.32
2007-05-01,71800,77600,70100,76400,294700,68630.52
2007-06-01,75900,77900,69800,71100,348200,63869.51
2007-07-02,71400,85300,71000,80700,407100,72493.23
2007-08-01,81100,81600,68600,75600,350200,67911.88
2007-09-03,76100,82200,74100,81400,307900,73122.05
2007-10-01,82100,83000,75400,81400,349400,73122.05
2007-11-01,82000,87300,77200,85700,401500,76984.77
2007-12-03,87000,88000,78300,79000,265300,70966.12
2008-01-01,79000,79000,62600,65500,290500,58839
2008-02-01,66000,68800,62500,67100,222600,60276.29
2008-03-03,66000,67500,57100,63100,257100,56683.06
2008-04-01,62500,72300,62400,67700,232600,60815.27
2008-05-01,67700,75500,66400,73900,216700,66384.76
2008-06-02,73500,74100,65500,67200,241600,60366.12
2008-07-01,66200,70000,61600,68900,283000,61893.23
2008-08-01,69300,69300,61200,64900,297500,58300.02
2008-09-01,66100,72200,60500,68600,407200,61623.74
2008-10-01,68200,71000,49000,64600,414100,58030.52
2008-11-03,63400,69800,55600,65900,354900,59198.32
2008-12-01,65100,68800,60300,61500,281300,55245.78
2009-01-01,61500,63500,55700,58600,271300,52640.69
2009-02-02,57600,61400,52200,52500,282300,47161.03
2009-03-02,52200,59900,50000,56300,276700,50574.59
2009-04-01,56200,61600,55700,59900,273400,53808.49
2009-05-01,59900,63800,56200,57800,288600,51922.05
2009-06-01,57400,59900,54800,56900,341600,51557.89
2009-07-01,56800,58800,55100,58500,256200,53007.68
