naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2008,16.7,809.1,12.8,27.6,561.6,16997.8,7923,9077.1,308.1,636.1,208.1,3791.6,2731.3,1060.3,1.297999978,1.608999968,1.116000056,1.606999993,0.023,1.248999953,0.023,1.25
311119,2008,29.4,1198.3,18.2,38.2,634.1,30858.9,23696.1,7322.7,659.4,1682.9,608.8,5435.3,3501.6,1933.7,1.457999945,1.715000033,1.139000058,1.531000018,-0.096000001,1.105000019,-0.097000003,1.105999947
311211,2008,10.3,493.1,7.7,16.8,319.5,12569.9,9786.4,2740.7,173.3,1287.6,338.5,3095,1907,1188,1.541000009,1.815000057,1.164999962,1.292999983,-0.158999994,1.083999991,-0.162,1.082999945
311212,2008,3.9,156.6,2.9,6.3,101.5,3651.1,2938.9,817.4,53.2,386.7,98.3,826.4,564.6,261.8,1.493000031,1.812999964,1.152999997,1.34800005,-0.316000015,1.082999945,-0.317999989,1.082999945
311213,2008,1,50.4,0.8,1.7,32.7,1015.7,805.7,207,14.6,106,27.4,539.7,330.8,208.9,1.233999968,1.850000024,1.167000055,1.526000023,-0.152999997,1.317999959,-0.145999998,1.309999943
311221,2008,8.4,545.9,5.2,11.6,316.6,15321.6,8071.8,7239.7,484,625,1175.9,7386.2,5454.6,1931.6,1.45599997,1.761000037,1.11500001,1.866000056,0.082999997,1.371999979,0.082999997,1.383000016
311222,2008,6.2,327,4.5,9.8,203.3,28915.9,23056.3,5697,215,1398,576.6,3248,2281.2,966.8,1.470000029,1.950999975,1.148000002,1.835000038,-0.126000002,1.440000057,-0.126000002,1.440999985
311223,2008,1.3,54.9,1,2.1,34.1,2249.1,1623.9,537.9,15.1,98.5,44.8,771.8,440.3,331.5,1.741999984,1.398000002,1.16900003,1.764999986,-0.112999998,0.94599998,-0.115000002,0.944999993
311225,2008,8.7,415.3,6.6,14.7,280,19528.1,15255.4,4229.2,111.8,956.3,223.7,2439,1642.4,796.6,1.825000048,1.707000017,1.154999971,1.730000019,-0.002,0.981000006,-0.002,0.981999993
311230,2008,13.3,773.6,10.8,23.1,601.3,10748.2,3266,7519.1,229.3,407.1,190.1,5037.1,3666.5,1370.6,1.152999997,1.463000059,1.10800004,1.585000038,0.074000001,1.093000054,0.074000001,1.093999982
311311,2008,3.8,197.7,2.9,6.6,133.5,1901.1,1151.6,737.3,72.1,255.4,59.8,1199.1,765.7,433.4,1.093000054,1.205000043,1.110000014,1.843000054,-0.002,1.192999959,0.008,1.19599998
311312,2008,2.7,134.5,2,4.7,90.8,2339.7,1836.1,566.1,116.9,407.2,73.6,1484.9,884.7,600.2,1.093999982,1.205000043,1.085999966,1.888000011,-0.026000001,1.034000039,-0.012,1.037999988
311313,2008,6,257,5.3,10.8,207.7,3110.7,1801.9,1299.9,95.3,750.5,209.7,1700.3,1189.7,510.6,1.039999962,1.245000005,1.093000054,2.005000114,0.054000001,1.297999978,0.056000002,1.297000051
311320,2008,7.1,345.3,5.1,10.1,237.9,4030.9,2580.6,1502.6,100.3,724.2,53.9,1713.6,1233.4,480.2,1.335000038,1.340000033,1.118000031,1.36500001,-0.145999998,0.832000017,-0.145999998,0.832000017
311330,2008,26,995.7,19.7,37.3,690.2,9334.1,3908.5,5359.1,207.9,826.5,141.8,3393.8,2257.2,1136.6,1.309000015,1.302000046,1.118999958,1.378999949,-0.150999993,0.838999987,-0.150999993,0.838999987
311340,2008,16.3,695.2,12.4,25,457,5931.8,2254.7,3718.6,214.9,506.9,75.8,2766.8,2034.5,732.3,1.338999987,1.348999977,1.133999944,1.424000025,0.041999999,0.81099999,0.041999999,0.81099999
311411,2008,33.3,1073.3,27.5,55.7,767.5,10700,5518.6,5108,303.5,1106.3,273.9,5415.3,3667.6,1747.7,1.238000035,1.412999988,1.14199996,1.480999947,-0.028000001,0.998000026,-0.028999999,0.999000013
311412,2008,52.1,1833,43.2,87.3,1310.7,14299.9,8211.9,6098.9,424.9,1646.1,366.1,5058.2,3481.2,1577,1.166000009,1.412999988,1.139000058,1.375,-0.046999998,0.953999996,-0.046999998,0.954999983
311421,2008,54.7,2164.9,45.1,94.5,1551.7,22608.7,13225.6,9387.6,721.7,4356.7,539.6,10457.1,6973.9,3483.2,1.277999997,1.338000059,1.120000005,1.636000037,-0.046999998,0.977999985,-0.046999998,0.978999972
311422,2008,13.4,627.4,11.1,23.2,449.7,9752.3,4723.9,4916.6,246,1556.1,232.8,3644.4,2281.4,1363,1.264000058,1.338000059,1.120000005,1.677999973,-0.037,0.833999991,-0.035999998,0.834999979
311423,2008,14.2,532.9,11.7,24.5,382,5826.1,3413.3,2534.4,186.3,1124.4,139,2355.4,1587.5,767.9,1.366000056,1.338000059,1.128999949,1.705000043,-0.067000002,1.008000016,-0.068000004,1.006000042
311511,2008,56,2622.1,34.3,71.5,1483.9,35619.6,24846.8,10597.8,663.6,858.9,497.2,9750.4,5653.7,4096.7,1.381000042,1.266000032,1.157999992,1.370000005,-0.02,0.976999998,-0.02,0.976999998
311512,2008,1.7,74.1,1,2.1,41.9,2350.8,2028.9,364.8,55.2,70.1,32.8,597,286.8,310.2,1.200000048,1.222000003,1.13499999,1.434000015,-0.063000001,1.024000049,-0.061999999,1.024999976
