naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2006,14.6,697.4,11.5,24.7,499.7,13596.6,5805.3,7804.2,273.6,482.1,186.7,3707.1,2694.6,1012.5,1.088999987,1.292000055,1.049999952,1.460999966,0.054000001,1.26699996,0.054000001,1.268000007
311119,2006,29.2,1153.4,17.6,36.1,616.2,20391.1,13711.8,6666.3,406,1190.9,335.2,5291.3,3375.7,1915.6,0.947000027,1.253999949,1.07099998,1.411000013,0.046,1.343000054,0.046,1.345000029
311211,2006,9.7,437,7.3,16.7,291.6,7853.1,5703.1,2121.2,159.5,917.4,229.7,2995.8,1849.9,1145.9,0.994000018,1.30400002,1.087000012,1.236999989,0.068999998,1.238000035,0.068999998,1.238999963
311212,2006,3.5,136.6,2.7,6.1,91.1,2223.3,1654.7,618,47.3,266.2,65,812,555.6,256.4,0.880999982,1.302000046,1.078999996,1.26699996,0.028999999,1.355999947,0.029999999,1.358999968
311213,2006,0.9,43.8,0.7,1.6,29.2,616.1,455.1,156.2,13,73.2,18,563.3,356.2,207.1,0.920000017,1.328999996,1.085000038,1.40199995,0.172000006,1.294999957,0.172999993,1.277999997
311221,2006,8.8,542.8,5.7,12.5,316.6,9939.1,5895.3,4108.8,593.9,599.5,1120.9,7437.8,5501.9,1935.9,1.139000058,1.324000001,1.047999978,1.631000042,0.012,1.148000002,0.02,1.157999992
311222,2006,6.8,309.6,5,10.5,203.5,16303.9,12619.8,3881.9,257.9,1349.6,399.5,3163.8,2226.7,937.1,0.933000028,1.302000046,1.077000022,1.618999958,0.02,1.506000042,0.02,1.506999969
311223,2006,1.5,52.9,1.1,2.3,34.8,1304.5,909.4,386.8,18.6,97.3,32,813.2,477,336.2,1.09800005,0.933000028,1.090999961,1.583999991,-0.048,0.975000024,-0.046999998,0.972000003
311225,2006,7.3,328.3,5.5,11.8,220.1,9312,7277.3,2088,201.1,574.9,159,2335,1577.3,757.7,1.207999945,1.187999964,1.078999996,1.539000034,0.018999999,0.968999982,0.018999999,0.970000029
311230,2006,14,796.4,11.6,24.8,619.1,9426.2,2813.2,6613.6,305.4,376.9,171,5107.5,3737.9,1369.6,1.070000052,1.197999954,1.039000034,1.437999964,-0.172999993,1.003000021,-0.172000006,1.003999949
311311,2006,3.8,183.6,2.9,6.5,122.1,1735.4,970.2,761.1,45.4,219,50,1174,791.8,382.2,1.128999949,1.179999948,1.031000018,1.618999958,-0.001,1.157999992,0.001,1.159999967
311312,2006,2.9,143.6,2.2,4.9,95.5,2416,1736.4,674.7,82.6,392,69.5,1533.8,921.8,612,1.164999962,1.179999948,1.019999981,1.659000039,-0.112999998,1.019999981,-0.111000001,1.021999955
