naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2007,17,792.9,13.1,28.3,553,14390.2,6917.4,7523.4,288.6,605.8,196.2,3745.9,2706.6,1039.3,1.148000002,1.450999975,1.082000017,1.460000038,-0.037,1.220999956,-0.037,1.220999956
311119,2007,28.9,1164.8,17.8,36.4,614.8,24220.5,17968.2,6349.6,365.7,1372.8,356.3,5394.3,3472,1922.3,1.151000023,1.483999968,1.101999998,1.411000013,-0.098999999,1.217000008,-0.098999999,1.218000054
311211,2007,10.2,475.2,7.4,17.4,302.2,9733.9,7179.6,2635.4,323.1,1297.5,199,2981,1841,1140,1.19599998,1.641000032,1.123999953,1.241000056,0.027000001,1.271999955,0.027000001,1.274000049
311212,2007,3.8,150.9,3.1,6.5,108.1,2827.3,2156,786,72.3,380.9,60.6,809,552.7,256.3,0.998000026,1.639999986,1.113999963,1.266000032,0.090999998,1.485000014,0.090999998,1.488000035
311213,2007,1,48.6,0.7,1.4,31.8,786.6,591.1,199,30.7,196.7,72.6,544.2,340,204.2,0.97299999,1.672999978,1.123000026,1.406000018,0.171000004,1.536000013,0.171000004,1.516000032
311221,2007,8.4,521,5.4,11.8,307.9,12117.1,6908.8,5257.7,328.6,646,1101.6,7541.3,5589.9,1951.4,1.284000039,1.605999947,1.080000043,1.646999955,0.094999999,1.261999965,0.094999999,1.273000002
311222,2007,6.2,314.8,4.5,9.6,197.9,19367,15312.9,4453.1,247,1763.1,393.3,3210.3,2246.8,963.5,1.103999972,1.748000026,1.111999989,1.631000042,0.081,1.633000016,0.081,1.63499999
311223,2007,1.4,52.8,1,2.1,31.7,1506.4,1078.5,420.5,29.8,252.1,44.3,787,454.5,332.5,1.284999967,1.253000021,1.128999949,1.598999977,0.082999997,1.059000015,0.086999997,1.06099999
311225,2007,8.3,392.2,6.3,14,260.4,12831.7,10418.7,2505.1,218.4,848.9,190.9,2383.4,1607.1,776.3,1.393000007,1.399999976,1.11500001,1.549000025,0.014,0.98299998,0.014,0.984000027
311230,2007,12.9,744.8,10.5,23,583.1,9684.2,3048.4,6651.2,283.9,346.5,162,5087.8,3722.6,1365.2,1.100000024,1.319000006,1.07099998,1.447000027,0.011,1.014000058,0.011,1.014999986
311311,2007,4,200.7,3.1,7.2,149.5,1872.2,1082.8,776.4,147.5,369.7,16.5,1149.1,770.4,378.7,1.088000059,1.120000005,1.067000031,1.621999979,0.030999999,1.195000052,0.023,1.18599999
311312,2007,2.8,136.5,2,4.5,77.9,2304.1,1726.4,596,36.3,180.6,14.4,1532.4,925.2,607.2,1.047000051,1.120000005,1.050999999,1.654000044,0.039999999,1.06099999,0.028000001,1.050999999
311313,2007,6.7,265.6,5.8,11.8,208.8,3264.9,1948.9,1335.6,105.6,791.1,210,1697.6,1182.9,514.7,1.018000007,1.103000045,1.062000036,1.751999974,0.160999998,1.228999972,0.158999994,1.225999951
311320,2007,7.7,370.2,5.8,11.5,255.2,4383.5,2438,1934.1,80.3,680.7,52.2,1741.5,1260.2,481.3,1.23300004,1.256000042,1.080000043,1.271999955,-0.028000001,0.963,-0.028000001,0.963
311330,2007,32,1134.1,23.9,44,781,10030,3581.5,6451.7,224.8,831.5,134,3372.5,2233.4,1139.1,1.207000017,1.245000005,1.083999991,1.279999971,-0.104999997,0.976000011,-0.104999997,0.976000011
311340,2007,18.3,728,14.1,27.8,486,5590.7,2258,3333.3,157.4,491,71.7,2790.7,2066.6,724.1,1.256000042,1.248999953,1.09800005,1.322000027,-0.135000005,0.777999997,-0.135000005,0.777999997
311411,2007,33.9,1079.3,29.8,61.7,848.1,10618.8,5160.4,5456.2,245.3,1819.2,341.5,5482.3,3724.7,1757.6,1.187999964,1.322000027,1.105000019,1.363999963,0.022,1.02699995,0.023,1.027999997
311412,2007,53.1,1843.1,42.1,87.9,1272.1,14191.4,7678.9,6514.6,404.6,799,257.6,4951.9,3388.7,1563.2,1.103000045,1.322000027,1.101999998,1.292999983,-0.003,1,-0.003,1
311421,2007,57.2,2053.6,47.2,95,1452.6,21358.7,11838.8,9641.3,565,4494.6,462.3,10490.7,6996.8,3493.9,1.184000015,1.261999965,1.085000038,1.485000014,0.001,1.024999976,0.001,1.026000023
311422,2007,14.1,595.2,12,24.1,452.7,9213.1,4228.5,5049.5,233.9,978.7,147.9,3614.6,2254.5,1360.1,1.187000036,1.261999965,1.085000038,1.513000011,0.018999999,0.865999997,0.017000001,0.86500001
311423,2007,14.8,505.5,12.5,24.1,360,5504,3055.4,2602.9,117,1116.5,161.7,2378,1613.6,764.4,1.241000056,1.261999965,1.093000054,1.534999967,-0.027000001,1.077999949,-0.026000001,1.077000022
311511,2007,54.1,2430.9,36.8,77.9,1604.9,32976.5,22714.5,10265.2,744.8,1070.9,486.1,9569.1,5550.8,4018.3,1.325000048,1.241999984,1.116000056,1.273000002,-0.107000001,0.995999992,-0.107000001,0.996999979
311512,2007,1.6,68.7,1.3,2.8,50.3,2176.3,1854.8,353.3,21.7,135.1,15,602.5,288.9,313.6,1.110000014,1.197999954,1.097000003,1.322000027,-0.079999998,1.090999961,-0.081,1.090999961
311513,2007,41.4,1642.8,34.1,71,1242,33112.2,27125.5,6340.5,560.3,2546.4,450,5985.2,4374.2,1611,1.24000001,1.205000043,1.103999972,1.422000051,-0.104999997,0.90200001,-0.104999997,0.90200001
311514,2007,14.8,745.3,10.9,23.8,523.8,13199.9,8293.1,5077.1,178.7,1003.8,298.6,3400.6,2276.3,1124.3,1.330000043,1.25,1.111999989,1.485000014,-0.105999999,0.813000023,-0.105999999,0.81400001
311520,2007,18.5,748.9,14.7,28.2,541.4,8853.1,4029.8,4838.8,196.7,531.9,119.5,3186.5,2032.6,1153.9,1.309999943,1.25,1.097000003,1.146999955,0.021,1.11500001,0.021,1.11500001
