naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2004,13,618.4,10.1,22.1,438.8,12127.9,5405.7,6722.6,271.3,448.4,139.1,3591.7,2607.6,984.1,1.059000015,1.161999941,0.990999997,1.292000055,0.009,1.169999957,0.009,1.169999957
311119,2004,30.1,1117.6,18.2,38.1,594.1,19793.7,13965.5,5837.1,312.3,961,271.6,5176,3262.8,1913.2,0.944999993,1.110000014,1.011000037,1.25999999,-0.035999998,1.194000006,-0.035999998,1.194000006
311211,2004,10.6,443,7.8,17.9,289.2,7721.8,5221.9,2507.6,246.9,819,193.4,2865.8,1738.2,1127.6,1.001000047,1.026000023,1.023000002,1.133000016,-0.048,1.093000054,-0.048,1.093000054
311212,2004,3.7,134.1,2.7,6.1,87.5,2074.9,1411.9,696.6,68.4,221.4,52,778.7,529.8,249,0.875999987,1.024999976,1.014999986,1.159999967,-0.256000012,1.208999991,-0.256000012,1.210000038
311213,2004,0.9,42.7,0.7,1.5,27.9,570.1,391,175.3,19,61.3,14.3,595.1,384.4,210.7,0.938000023,1.046000004,1.021000028,1.282999992,-0.016000001,1.097000003,-0.017000001,1.08099997
311221,2004,8.8,497.3,5.8,13,301.2,8754.4,5161.9,3590.7,379.3,491.4,814.3,7671.8,5726.1,1945.7,1.039999962,1.065999985,0.987999976,1.383000016,-0.090999998,1.049999952,-0.093000002,1.050999999
311222,2004,6.8,296.5,4.9,10.5,185.2,17207,13287,3912.1,182.3,969.9,346.8,3161.8,2258,903.9,1.029999971,1.416000009,1.004999995,1.376000047,-0.024,1.475000024,-0.024,1.476999998
311223,2004,1.5,52.6,1,2.3,32.9,1454.1,1001,431.3,13.7,73.1,29.3,878.5,533.4,345.1,1.034000039,1.014999986,1.018000007,1.345999956,-0.068000004,1.116000056,-0.068000004,1.113999963
311225,2004,7.3,320.1,5.5,12,215.9,9990.9,8077.2,1932.2,62.3,499.5,126.6,2359.4,1617.2,742.2,1.284999967,1.218999982,1.008000016,1.332000017,-0.023,0.916999996,-0.023,0.916999996
311230,2004,12.3,729.5,10.1,22.1,563.7,11209.7,2539.1,8636.5,225.4,316.5,125.1,5245.7,3863.9,1381.9,1.031999946,1.067000031,0.98299998,1.274000049,0.043000001,1.215999961,0.043000001,1.217000008
311311,2004,3.9,168.1,2.9,7.1,113.4,1583,966.1,578,43.1,216.8,38.4,1214.9,822,392.9,0.917999983,1.011999965,0.980000019,1.383999944,0.039999999,1.172999978,0.039999999,1.172000051
311312,2004,3.5,172.8,2.6,6.3,116.6,2844.7,2207.1,681.6,106,495.2,69,1463.8,838.3,625.6,0.954999983,1.011999965,0.970000029,1.417999983,-0.050000001,1.093999982,-0.050999999,1.093999982
311313,2004,6.4,249.2,5.5,11.1,195.3,2645.8,1601.7,1043.8,57.8,707.2,151.7,1812.8,1274.2,538.5,0.939999998,1.011999965,0.984000027,1.480999947,-0.052999999,1.129999995,-0.055,1.126000047
311320,2004,8.7,378.9,6.8,13.8,275.5,4135.2,2397.6,1802.6,84.1,703.1,43.6,1817.8,1327.3,490.5,1.164000034,1.106999993,0.994000018,1.174000025,0.097000003,0.882000029,0.097000003,0.882000029
311330,2004,28,964.7,21.8,42.9,699.7,9817.6,3278.5,6589.9,291.5,741.4,85.2,3233.2,2097.4,1135.8,1.103999972,1.110999942,0.992999971,1.17900002,0.026000001,1.072000027,0.026000001,1.072000027
311340,2004,19.5,735.8,14.8,29.8,486.4,5717.9,2153.2,3566.4,265.1,536.1,70.5,2502.1,1820.1,682,1.141000032,1.097000003,1.006000042,1.205000043,-0.002,0.887000024,-0.002,0.887000024
311411,2004,34.7,981.3,29.1,58.2,733.5,9340.9,4603.7,4787.3,307.5,996.7,198,5475.4,3757.4,1718,1.039999962,1.108999968,1.00999999,1.256000042,0.014,1.001000047,0.014,1.001000047
311412,2004,49.4,1494.3,41.5,82.9,1117,12701.2,6071.3,6582.7,381.1,1314.4,269.2,4534.1,3059.3,1474.8,1.046000004,1.108999968,1.006999969,1.182999969,-0.023,1.019999981,-0.023,1.019999981
311421,2004,53.6,1808.7,43.6,90.9,1296,18557.7,9519.4,8948,754.6,3371.9,359.3,9981.1,6524,3457,1.062000036,1.098999977,0.996999979,1.320000052,0.012,1.059000015,0.012,1.059999943
311422,2004,12.9,489.4,10.5,21.9,350.7,7724.1,2839.3,4836.1,214.6,1005.7,149.5,3509,2143.4,1365.6,1.083999991,1.098999977,0.995999992,1.351999998,0,0.901000023,0,0.90200001
311423,2004,14,457,11.4,23.7,327.4,4998.8,2384,2645.1,189,844.5,96.8,2201.5,1453.4,748.1,1.07099998,1.098999977,1.003000021,1.371000051,-0.013,1.238999963,-0.013,1.236999989
311511,2004,57.1,2362.4,32.8,69.8,1243.2,28080.7,18543.2,9580.5,522.1,772.7,335.1,9315.4,5345.1,3970.3,1.159999967,1.156999946,1.013000011,1.180999994,0.015,1.06099999,0.015,1.06099999
311512,2004,1.8,70.5,1,2.2,37.1,1859.5,1545.9,326.5,45.9,64.4,22.2,531.1,224.8,306.3,1.312999964,1.116999984,0.998000026,1.23300004,-0.213,0.874000013,-0.213,0.875
311513,2004,36.7,1359.1,30.6,62.9,1033.3,25824.5,20148.6,5792.5,386.7,1727,289.3,5427.9,3967,1460.9,1.175999999,1.133000016,1.003999949,1.292000055,-0.012,0.916000009,-0.012,0.916000009
311514,2004,13.2,604.5,9.2,19.7,379.3,9689,5123.9,4561.5,244,679.6,162.4,3428.7,2305.2,1123.5,1.088000059,1.133000016,1.019000053,1.337000012,-0.027000001,0.91900003,-0.027000001,0.91900003
311520,2004,17.9,697.1,14.1,27.5,494.2,7992.7,3634.4,4340.9,248.7,377.2,94.1,2949.6,1882,1067.6,1.222000003,1.120000005,0.992999971,1.100000024,0.054000001,1.11500001,0.054000001,1.11500001
311611,2004,146.9,4297.3,122.4,268.7,3186.3,63575.5,52800,10551.6,873.4,2301.4,680.9,10426.4,5744.3,4682.1,1.207999945,1.174999952,1.029000044,1.271999955,0.044,0.967999995,0.044,0.967999995
311612,2004,100.3,3161.3,83.6,183.4,2344,31756.1,19596.6,12359.2,356.9,854.2,340.1,6224.8,3391.6,2833.2,1.123999953,1.241000056,1.019999981,1.297000051,0.018999999,1.082999945,0.018999999,1.082999945
311613,2004,9,325,7.5,16.5,240.9,2790.2,1202.2,1641,19.2,52.4,29.9,1367.4,895.1,472.4,0.878000021,1.194000006,1.006999969,1.376999974,0.02,1.495000005,0.02,1.434999943
311615,2004,233,5247.5,205,426.7,4270.6,43679.4,20428,23286.1,813.1,1392.4,536.8,9654,6223.4,3430.6,1.042999983,1.031999946,1.014999986,1.187999964,0.037,1.194000006,0.037,1.194000006
311711,2004,3.9,113.6,3.3,6.3,77.8,1090.2,705.7,381.5,17.8,149.7,19.3,568.7,333,235.7,0.992999971,1.070000052,0.996999979,1.271999955,0.007,1.187999964,0.007,1.187999964
311712,2004,35.1,972.9,29.1,56,665.8,8119.1,4880.6,3250.1,124.1,1035.1,143.9,2054.7,1423.4,631.2,1.11500001,1.070000052,1.014999986,1.268000007,0.057,1.041000009,0.057,1.041000009
311811,2004,56.8,952.7,32,57.9,496.4,3015.9,939.5,2080.3,75.7,94.9,46.6,1280.8,812.1,468.7,1.18599999,1.116999984,1.004999995,1.251999974,0.112000003,1,0.112000003,1
311812,2004,146.9,5172.5,82.8,149.7,2695.1,24466.9,7283.8,17249.6,558.8,736.1,378.3,12112.1,7575.5,4536.5,1.157999992,1.116999984,1.008000016,1.261999965,0.083999999,0.986999989,0.083999999,0.986999989
311813,2004,20.5,680.5,11.6,20.9,354.5,4416.3,2086.8,2260.5,98,210.9,68.3,1093.8,822.5,271.2,1.157999992,1.10800004,1.011000037,1.187000036,0.068999998,0.971000016,0.068999998,0.971000016
311821,2004,32.1,1109.4,24.7,50,799.9,11364,3175.1,8292.5,185.2,428.6,124.3,4526.4,3439.1,1087.2,1.103999972,1.111999989,0.984000027,1.233999968,-0.012,1.062000036,-0.012,1.062000036
311822,2004,14,511.7,10.8,21.9,368.9,5473.1,2451.1,2909.7,136.5,330.9,59.9,2200.5,1546.9,653.6,1.006999969,1.09800005,1.018000007,1.161000013,0.041000001,1.082000017,0.041000001,1.082000017
311823,2004,3.4,125.2,2.6,5.3,90.3,1654.5,851.7,765.3,45,115,18.1,863.3,657.7,205.6,1.014999986,1.123999953,0.981000006,1.197999954,0.009,0.853999972,0.009,0.852999985
311830,2004,12,310.6,9.7,17,222.4,1891.7,726.3,1164.2,44.8,60.3,40,538.6,408.8,129.8,1.118999958,1.13499999,0.991999984,1.256999969,0.055,1.17900002,0.055,1.179999948
311911,2004,12.6,400,8.6,14.7,229.3,5299.1,3158.5,1967.7,196,559.4,58.3,1498.8,1171.4,327.4,1.15199995,1.15199995,0.995999992,1.228999972,0.017000001,0.971000016,0.017999999,0.972000003
311919,2004,34.9,1014.1,23.8,40.5,581.3,13766.3,3621.6,10399.2,224.7,641.4,151.4,5452.4,4049.1,1403.3,1.133000016,1.093000054,1.006000042,1.338999987,0.055,1.097000003,0.055,1.09800005
311920,2004,11,502,7.3,15.1,288.3,5823.3,2537.9,3291.3,148.2,519.2,67.1,3784.5,2277.2,1507.2,0.930999994,1.074000001,0.977999985,1.284000039,0.075999998,1.082999945,0.075999998,1.083999991
311930,2004,5.4,246.3,3.6,7.2,146,8007.9,1361.2,6659.2,62.1,349.1,26.2,1348.5,850.2,498.4,1.15199995,1.103000045,1.01699996,1.205000043,-0.072999999,1.036999941,-0.072999999,1.036999941
311941,2004,13.7,560.8,9.2,19.5,298.2,6053.8,3172.7,2863.6,134.6,632.2,47.9,2385.9,1616,769.9,1.100999951,1.118000031,1.003000021,1.195000052,-0.033,0.903999984,-0.033,0.903999984
311942,2004,16.4,769.9,11,23.3,409.4,6254.7,2945.4,3337.1,125,586.9,49.5,1667,1132.5,534.5,1.174000025,1.062000036,1.031000018,1.20599997,-0.041999999,0.958999991,-0.041999999,0.958999991
311991,2004,38.4,1146.9,29.2,60.2,768.9,7312.6,3999.1,3337.8,205.4,506,102.4,1501.3,1118.4,382.8,1.101999998,1.088999987,1.008000016,1.16900003,0.059,1.10800004,0.059,1.108999968
311999,2004,44.1,1550.8,33.6,69.1,1039.7,12111.8,6356.3,5731.2,326.5,804.3,169.5,3487.2,2475.6,1011.6,1.103999972,1.088999987,1.006999969,1.243000031,0.017999999,1.014999986,0.017999999,1.014000058
312111,2004,57.2,2399.7,27.1,57.4,995.1,36703.2,20953.4,15692,1111,1415.5,322.1,13419.9,9511.3,3908.6,1.175999999,1.101999998,1.001999974,1.205000043,0.050999999,0.97299999,0.050000001,0.973999977
312112,2004,7.9,291.6,3.7,7.9,120.9,2717.2,1019.9,1768.9,54.1,68.9,23.8,973.6,753.9,219.7,1.098999977,1.101999998,1.019000053,1.141000032,0.186000004,1.161000013,0.186000004,1.159999967
312113,2004,5.8,162,2.8,5.9,67.2,708.3,125.9,625.4,5.5,8.5,6.2,375.2,263.6,111.6,1.269000053,1.101999998,0.985000014,1.149999976,0.061999999,1.407999992,0.061999999,1.371999979
312120,2004,24.4,1386.4,17.1,32.8,835.1,20305.4,6958.9,13331.9,807.2,456.5,270.1,13763.6,9303,4460.6,1.210999966,1.083999991,1.011000037,1.302999973,-0.029999999,0.930000007,-0.029999999,0.930000007
312130,2004,23.3,1135.9,10.9,21.4,391.3,9671.5,4190.3,5802.3,322.1,6088.2,82.8,3832.2,2645,1187.2,1.029000044,1.059999943,1.039000034,1.133999944,0.078000002,1.161000013,0.078000002,1.161999941
312140,2004,5.1,252.6,3.4,6.9,136.7,4792.3,1904.4,2904,84.3,2278.4,26.9,1263.7,780.9,482.8,1.065999985,1.097000003,1.029000044,1.273000002,-0.043000001,1.166000009,-0.043000001,1.164999962
312210,2004,2.3,67.3,1.7,3.2,34,856,623.8,230.8,12.7,206.6,15.2,796,305.4,490.6,1.126000047,1.090999961,0.870000005,1.192999959,0.071999997,0.846000016,0.072999999,0.846000016
312221,2004,13.2,949.3,9.8,19.3,565.8,34149.8,3945.5,30212,248.9,3926.8,84.5,6796.5,4004.1,2792.4,1.751999974,1.095999956,0.871999979,1.169999957,0.014,0.795000017,0.014,0.795000017
312229,2004,6.4,273.6,4.8,9.3,163,3833.6,788.8,3041.1,55.8,785.1,9.5,723,406.6,316.4,1.332999945,1.138000011,0.927999973,1.167000055,0.008,0.638000011,0.008,0.638000011
313111,2004,32.9,890.7,29.5,63.7,741.2,6080.8,3739.5,2362.5,97.3,344.3,241.5,4841.6,3208.9,1632.7,0.95599997,0.898999989,1.050999999,1.057000041,-0.023,1.011000037,-0.023,1.00999999
313112,2004,17.4,491.2,15.6,33.7,408.8,4598.3,3217.2,1357.2,92.4,296.2,182.6,1669.3,1186.1,483.2,0.893999994,0.898999989,1.046000004,1.078999996,-0.012,1.110000014,-0.012,1.113000035
313113,2004,1.7,43.1,1.6,3.3,35.8,268.6,159,110.7,4.6,14.6,10.7,239.6,149,90.6,1.027999997,0.898999989,1.041000009,1.110999942,0.011,1.001000047,0.011,1.003000021
313210,2004,60.1,1737.2,52.1,103.4,1363.3,9191,5161.9,3998.7,234.8,1268.9,350,11212.3,6954.4,4257.9,0.938000023,0.935000002,1.04400003,1.118999958,-0.033,0.938000023,-0.033,0.938000023
313221,2004,9.8,308.6,7.8,15.7,195.8,1254.9,523.1,728.7,25.3,209.5,30.9,790.3,494.3,296,1.023000002,0.963999987,1.065000057,1.18599999,0.057,1.039999962,0.057,1.039999962
313222,2004,1.6,42.5,1.3,2.6,27,126,34.6,91.2,1.6,13.9,3.1,118.5,49.8,68.6,1.049000025,0.963999987,1.062000036,1.144999981,0.085000001,0.84799999,0.085000001,0.852999985
313230,2004,20,882.7,15.9,34,641.6,5691.7,3017,2576.6,202.2,628.9,196.8,3164.3,2496,668.3,0.981999993,1.047999978,1.036000013,1.151000023,-0.101000004,1.149000049,-0.101000004,1.149000049
313241,2004,10,284.4,8.3,17.5,203.6,1593,947.2,622.3,26.5,148.6,59,1254.5,736.4,518.1,0.889999986,0.948000014,1.034000039,1.261999965,-0.024,1.034000039,-0.024,1.034000039
313249,2004,8.9,269.9,7.4,15.5,193.2,1419.6,749.4,683.5,21,117.6,52.6,916.2,628.6,287.5,0.944999993,0.948000014,1.037999988,1.238999963,-0.011,0.867999971,-0.01,0.869000018
313311,2004,25.5,797.4,20.5,41.4,551,5207.4,3060,2104.3,74.6,501,230.4,3147.1,1774.9,1372.2,0.94599998,0.967000008,1.039999962,1.351999998,0.005,0.897000015,0.006,0.897000015
313312,2004,18.6,531,15,30.3,366.9,3093.2,1733.2,1358.2,42.3,283.8,136.8,1887.7,1194.9,692.9,0.93599999,0.967000008,1.052000046,1.312999964,-0.009,0.944999993,-0.008,0.943000019
313320,2004,8.9,351.1,6.1,13.2,206,2374,1505.2,892.7,54.3,312.2,47.1,1217.1,723.2,493.9,1.062000036,1.027999997,1.054999948,1.27699995,0.054000001,0.989000022,0.054000001,0.989000022
314110,2004,40.4,1279.4,32.9,70.4,910.2,15199.5,9562.1,5687.5,158.2,937.8,212.8,3082.6,1844.7,1237.9,1.077000022,0.94599998,0.968999982,1.300999999,0.023,1.014000058,0.022,1.013000011
314121,2004,15.6,375.7,12,24.3,244.7,1445.3,657.5,790.9,9.4,168.5,11.9,371.3,187.8,183.5,1.001000047,0.957000017,0.994000018,1.203999996,0.043000001,0.954999983,0.044,0.954999983
314129,2004,32.8,834.8,25.4,51.2,543.7,6511.1,3781.5,2600.7,53.8,969.1,53.7,1260,799.1,460.9,0.991999984,0.957000017,0.981999993,1.230000019,0.027000001,0.940999985,0.027000001,0.940999985
314911,2004,6.8,177.8,5,10,101.6,765.9,409.3,368,7.4,76.1,4.1,209,120.7,88.3,1.074000001,1.014000058,0.964999974,1.154999971,0.011,0.912,0.011,0.911000013
314912,2004,18.9,563.4,13.9,27.9,321.9,2339.2,1112.6,1225.5,24.2,206.8,12.4,421.1,305.5,115.6,1.213000059,1.014000058,0.98299998,1.175999999,0.082000002,0.931999981,0.082000002,0.931999981
314991,2004,4.3,147.6,3.1,6.2,77.1,762.4,394.1,363.3,24.3,128.3,10.9,308.1,197.9,110.2,0.879000008,0.999000013,0.973999977,1.067999959,0.150000006,1.235999942,0.150000006,1.235999942
314992,2004,4.1,158.3,3.5,7.2,123.1,1175.7,797.3,385.5,19.9,133.7,58.1,620.5,398.5,222.1,0.968999982,0.958000004,0.968999982,1.15199995,0.050999999,0.986999989,0.050999999,0.989000022
314999,2004,43.4,1168.3,31.9,64.6,746.3,5436.8,2571.3,2898.8,124.6,635.8,66.6,2100.8,1439.2,661.6,1.036999941,0.999000013,0.973999977,1.187000036,0.017999999,0.985000014,0.017999999,0.984000027
315111,2004,7.6,169.6,6.4,12.8,126.2,956.2,472.7,457.5,15.6,112,21.5,942.2,415.7,526.5,1.067000031,0.986000001,0.971000016,1.190999985,0.041999999,0.879999995,0.041999999,0.879999995
315119,2004,18.8,472.5,15.8,31.4,351.7,2210.6,1001.2,1160.1,32.4,237.2,49.6,963.8,609.8,354,1.13499999,0.987999976,0.968999982,1.17900002,0.016000001,0.896000028,0.016000001,0.896000028
315191,2004,7.5,177.9,5.8,10.8,123.2,913.8,491.6,387.3,14.6,99.3,17,1282.8,629.3,653.6,0.995999992,0.963,0.98299998,1.256999969,0.026000001,0.720000029,0.027000001,0.720000029
315192,2004,1.6,42,1.3,2.4,29.1,394.9,213.3,155.4,6.4,43.1,7.3,425.4,183.1,242.3,0.981000006,0.963,0.978999972,1.261000037,-0.041000001,0.930000007,-0.039999999,0.92900002
315211,2004,19.4,354.7,16.3,30.2,264.4,806.4,170.9,659.5,17.9,64.1,16,343,173.6,169.4,1.008000016,0.967999995,0.97299999,1.296000004,0.090999998,0.776000023,0.090999998,0.77700001
315212,2004,59.2,1024.1,50,92.2,763.3,2775.4,847,1984.3,88.6,317.9,54.9,685.9,384.3,301.6,1.001000047,0.967999995,0.985000014,1.251000047,0.122000001,0.850000024,0.122000001,0.84799999
315221,2004,1.1,28.1,0.9,1.7,18.8,165.3,82.1,82.3,0.9,25.5,1.3,129.2,58.6,70.6,1.001000047,0.967999995,1.016000032,1.243999958,-0.120999999,0.451000005,-0.120999999,0.451000005
315222,2004,9.5,235.5,7.6,14.5,157.3,1328.3,537.3,771,6.1,166.6,10.7,486.2,148.9,337.3,1.031999946,0.967999995,1.036999941,1.159000039,-0.050999999,0.984000027,-0.050000001,0.984000027
315223,2004,9.4,217.8,7.5,14.2,145.5,1549.7,878.8,669.9,9.9,272.5,12.4,916.1,461.3,454.7,0.970000029,0.967999995,1.001999974,1.199000001,-0.101000004,0.640999973,-0.100000001,0.640999973
315224,2004,10.7,229.9,8.5,16.2,153.6,2519.3,1089.1,1436.6,12.3,337.7,20.2,1207.1,487.7,719.4,1.01699996,0.967999995,1.006000042,1.182999969,-0.263000011,0.721000016,-0.261999995,0.721000016
315225,2004,10.2,213.5,8.2,15.5,142.6,1594.5,786.8,809.3,8.9,244,12.8,275.4,148.5,126.9,1.001999974,0.967999995,0.986999989,1.149999976,-0.112000003,0.976999998,-0.111000001,0.976999998
315228,2004,7.2,146.1,5.8,11,97.6,857.8,441.9,418.5,5,137,6.9,397.2,165.7,231.5,1.003999949,0.967999995,1.029999971,1.18900001,-0.092,0.887000024,-0.090999998,0.887000024
315231,2004,6.2,155,3.9,7.6,72.4,1381.4,745.9,620.4,8.2,160.9,5.6,509.1,193.8,315.3,1.004999995,0.967999995,1.003999949,1.103999972,-0.057,0.754999995,-0.057,0.754999995
315232,2004,11.4,392.7,7.1,14,183.6,3547.2,2111.9,1408.6,23.3,455.5,14.4,749,453.7,295.3,1,0.967999995,0.980000019,1.14199996,0.002,0.927999973,0.002,0.927999973
315233,2004,12.4,425.9,7.7,15.1,199.1,2645,1537.5,1111.2,17,331.6,10.7,920.5,376.3,544.2,1.001000047,0.967999995,1.041000009,1.111999989,-0.005,0.862999976,-0.005,0.862999976
315234,2004,3.5,122.5,2.2,4.3,57.3,766.7,391.7,376.1,4.3,84.5,3.1,453.2,145.6,307.6,1.008999944,0.967999995,1.029000044,1.164999962,-0.043000001,0.712000012,-0.043000001,0.711000025
315239,2004,19.1,573.2,11.8,23.3,268,4544.1,2406,2120.7,26.5,518.9,18.5,1058,619.3,438.7,0.996999979,0.967999995,0.999000013,1.121000051,-0.034000002,0.815999985,-0.034000002,0.815999985
315291,2004,1.4,28.3,1,1.9,16,193.5,92.1,103,2.2,49,1.4,166.1,77.8,88.4,0.998000026,0.967999995,0.97299999,1.121000051,-0.097000003,0.578000009,-0.097000003,0.578000009
315292,2004,1.4,37.6,1,2,21.2,153.1,82.3,70,1.9,43.8,1.1,44.6,22.6,22.1,1.001999974,0.967999995,0.97299999,1.049999952,-0.021,0.837000012,-0.021,0.837000012
315299,2004,11.7,282.2,8.3,16.2,159.2,1130.3,463.6,680.3,10.9,246.9,8.1,188.3,117.4,71,1.008999944,0.967999995,0.977999985,1.105000019,0.003,1.018000007,0.003,1.018000007
