naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2005,14.5,680.8,11.2,24.5,484.6,13169.9,5829.4,7355,266.9,462.6,175.4,3659.5,2661,998.5,1.072999954,1.174999952,1.021000028,1.452000022,0.026000001,1.200000048,0.026000001,1.200999975
311119,2005,29.4,1161.4,17.5,37.1,607.6,20169.5,13571.7,6635,360.7,1122.8,342.3,5224.5,3325.1,1899.4,0.90200001,1.093000054,1.042000055,1.401000023,0.072999999,1.282999992,0.072999999,1.284999967
311211,2005,10.5,445.8,7.8,17.5,295.6,7637.5,5292.4,2327.5,201.1,865.1,216.9,2962.1,1816.2,1145.8,0.91900003,1.023000002,1.05400002,1.222000003,0.056000002,1.156000018,0.056000002,1.156999946
311212,2005,3.7,137.1,2.8,6.2,90.9,2106.8,1482.8,662.2,57.8,242.4,59.8,802.6,547.6,255,0.782999992,1.021999955,1.046000004,1.251000047,0.086000003,1.317000031,0.086000003,1.319000006
311213,2005,0.9,43.8,0.7,1.6,29.1,581.4,409.2,167,16,66.9,16.5,580.1,370.6,209.6,0.933000028,1.042999983,1.052000046,1.383999944,-0.006,1.090999961,-0.006,1.075000048
311221,2005,8.7,503.6,5.7,12.8,300,9290.9,5414,3864.1,325.7,490.5,949.1,7590.7,5655.7,1935,1.006999969,1.082000017,1.016000032,1.578999996,0.077,1.133999944,0.077,1.13499999
311222,2005,6.9,316.8,5,10.6,200.5,17344,13156.4,4221,196.1,1103.1,413.8,3160.6,2250.6,909.9,0.91900003,1.19599998,1.039000034,1.58099997,0.001,1.475999951,0,1.476999998
311223,2005,1.5,55.2,1.1,2.3,34.9,1426.6,969.6,442.8,14.5,81.3,34,844.1,504.3,339.9,1.023000002,0.856999993,1.052999973,1.546000004,-0.086999997,1.023000002,-0.088,1.019999981
311225,2005,7.2,324.5,5.6,12.2,223.2,9640.2,7768.4,1869.2,195.8,491.4,148.9,2280.2,1539.2,741.1,1.16900003,1.131000042,1.042999983,1.504999995,0.035999998,0.950999975,0.035999998,0.950999975
311230,2005,13.4,798.2,11.2,24.8,614.3,11452.6,2817.8,8636.3,264.7,329.4,148.1,5155.7,3784.9,1370.8,1.059999943,1.085000038,1.008999944,1.407999992,-0.02,1.192999959,-0.02,1.192999959
311311,2005,4.1,180.8,3,7,124.1,1747.6,1004.3,686.5,51,206.7,44.9,1189.3,800.4,388.9,1.049000025,1.087000012,1.003999949,1.603000045,-0.011,1.159999967,-0.011,1.159000039
311312,2005,3.3,162.2,2.5,5.8,111.3,2759.2,2025.7,701.8,111.5,416.9,70.9,1498.9,876.9,622,1,1.087000012,0.992999971,1.643000007,0.043000001,1.14199996,0.043000001,1.14199996
311313,2005,6.8,266.1,5.9,11.8,212,2737,1533.9,1132.9,73.2,666.3,168.2,1764.9,1232.6,532.3,0.981999993,1.097000003,1.008000016,1.74000001,0.064999998,1.20599997,0.066,1.203999996
311320,2005,7.9,354,6,12.2,245,4221.4,2337,1921,73.9,658.2,52.8,1793.7,1303,490.7,1.169999957,1.156999946,1.021999955,1.264000058,0.067000002,0.944000006,0.067000002,0.944000006
311330,2005,26.4,961.9,20.2,42.3,694,10390.1,3219,7185.2,250.8,790.3,111.9,3304.2,2182.4,1121.8,1.139000058,1.174000025,1.019999981,1.271000028,0.037,1.113000035,0.037,1.113000035
311340,2005,19.8,774.3,15.2,31.6,521.7,6785.9,2476.4,4318.1,154.2,623.4,86.5,2616.6,1893.7,722.9,1.208999991,1.144999981,1.037999988,1.31099999,0.050999999,0.933000028,0.050999999,0.933000028
311411,2005,34.7,1053.2,28.9,60.6,776.9,10061.9,5016.9,5084,317.6,1033.6,228.5,5477.1,3738.7,1738.3,1.075000048,1.143000007,1.042000055,1.376000047,0.009,1.011000037,0.009,1.00999999
311412,2005,51,1665.7,42.4,89,1228.8,13602.9,6886,6667.4,410.1,1418.8,308.9,4673.3,3162.1,1511.2,1.08099997,1.143000007,1.039000034,1.296000004,-0.032000002,0.987999976,-0.032000002,0.987999976
311421,2005,54.1,1895.7,44.1,91.9,1358.8,18548.2,10026.9,8439.6,650.9,3337.4,428.6,10225.2,6744.5,3480.8,1.090999961,1.146000028,1.026000023,1.498000026,-0.043000001,1.014999986,-0.043000001,1.016000032
311422,2005,13.1,525,10.7,22.3,376.4,7813.6,3182,4513.5,198.2,1059.1,180.6,3550.3,2184.7,1365.6,1.113000035,1.146000028,1.024999976,1.534000039,-0.050000001,0.856999993,-0.050000001,0.85799998
311423,2005,14.1,474.9,11.5,23.9,340.4,4924.2,2536,2421.5,164.6,844.1,113.8,2279.4,1523.1,756.3,1.100000024,1.146000028,1.031999946,1.555999994,-0.067000002,1.159000039,-0.066,1.156999946
311511,2005,56.6,2431.7,32.5,68.5,1265.7,29273.9,19309.8,10009.7,586.7,818.9,380.3,9386.7,5390.9,3995.8,1.16900003,1.187999964,1.047999978,1.282999992,0.024,1.085999966,0.024,1.085999966
311512,2005,1.8,71.3,1,2.1,37.1,1936.4,1598.8,342.2,51.2,67.8,25.2,555.5,245.9,309.6,1.179999948,1.146000028,1.031999946,1.338999987,0.136000007,1.001000047,0.136000007,1.001999974
311513,2005,37.6,1436.9,31.4,65.4,1092.5,27116.3,21358.9,5815.9,506,1836.2,350,5514.3,4022,1492.2,1.138000011,1.144999981,1.037999988,1.442000031,0.039999999,0.953000009,0.039999999,0.953000009
311514,2005,12.6,633.6,8.9,19.2,395.3,9585.9,5344.2,4276.8,161.5,723.9,180.3,3499,2366.8,1132.2,1.100999951,1.162999988,1.049999952,1.506000042,-0.035999998,0.885999978,-0.035999998,0.885999978
311520,2005,19.2,742.3,15.1,29.2,531.4,9013.4,4165.8,4931,348.5,494.1,119.8,3049.7,1958.3,1091.4,1.238999963,1.154999971,1.031000018,1.141000032,0.037,1.156999946,0.037,1.156999946
311611,2005,146.6,4332.5,123,263.4,3253.7,65453.3,53983.6,10944.5,968.6,2439.1,798.9,10799.3,6025.7,4773.6,1.213000059,1.197999954,1.065000057,1.409000039,0.021,0.987999976,0.021,0.987999976
311612,2005,103.8,3289.8,87.1,186.5,2470.6,34108.2,20900.8,13636.1,412.7,944.4,416.3,6203.1,3364.3,2838.8,1.156999946,1.264000058,1.055999994,1.437000036,0.014,1.09800005,0.014,1.09800005
311613,2005,9.2,335.4,7.7,16.5,251.9,3056.3,1270.3,1892.3,21.8,57.4,37.3,1311.5,844.1,467.4,0.800999999,1.215999961,1.042999983,1.524999976,0.186000004,1.800999999,0.187000006,1.728999972
311615,2005,226.4,5328,199.1,415.4,4291.9,47819,20689,27158.8,892.5,1642.3,631.8,9989.2,6528.9,3460.3,1.050999999,1.029000044,1.044999957,1.276000023,0.064000003,1.271999955,0.064000003,1.273000002
311711,2005,3.5,109.9,2.9,5.7,74.6,1089.9,715.3,374.6,16.5,144.2,23.8,557.1,323.8,233.3,0.998000026,1.136000037,1.024999976,1.399999976,0.035999998,1.231999993,0.037,1.23300004
311712,2005,35.7,1062.1,29.3,57.4,720.6,9055,5453.1,3596.3,126.8,1099.5,197.7,2063.2,1429.8,633.4,1.172000051,1.136000037,1.042999983,1.394999981,0.022,1.065000057,0.023,1.065000057
311811,2005,55.9,963.6,32.7,58.5,499.2,3262.3,1028.1,2249.9,86.2,111.5,54.3,1277.5,810.5,467,1.217000008,1.144999981,1.032999992,1.370000005,0.041000001,1.042999983,0.041000001,1.042000055
311812,2005,143.1,5121.3,83.7,149.8,2653,25878.2,8007.6,17994.8,639.9,868.4,430.8,12062.4,7547.7,4514.7,1.187000036,1.144999981,1.036000013,1.381000042,0.02,1.006999969,0.02,1.006999969
311813,2005,19.8,673.5,11.6,20.7,348.9,4743.1,2355.2,2350.8,117.4,255.4,79,1134,859.2,274.8,1.172000051,1.13499999,1.037999988,1.299000025,0.006,0.976999998,0.006,0.976999998
311821,2005,29.5,1063.9,22.9,46.5,772.8,10630.3,3105.6,7638.2,232,425.2,125.1,4451.8,3372.8,1079,1.111999989,1.131000042,1.00999999,1.343000054,-0.044,1.016000032,-0.044,1.016000032
311822,2005,14,525.9,10.9,22,382,5501.6,2520,2892.1,179.1,345,64.7,2228.1,1578.3,649.8,1.011000037,1.116000056,1.04400003,1.264000058,-0.009,1.072000027,-0.009,1.072000027
311823,2005,3.2,125.9,2.5,5.1,91.5,1557,800.2,730.5,54.2,109.5,18.3,860.6,655.8,204.8,1.019000053,1.143000007,1.006000042,1.304999948,-0.017999999,0.838999987,-0.017999999,0.838999987
311830,2005,12.9,335.4,10.3,18.2,241,2093.4,812,1283.2,34.3,62.5,46.8,555.2,423.4,131.8,1.14199996,1.144999981,1.018000007,1.394999981,0.014,1.19599998,0.014,1.19599998
311911,2005,13.1,440.4,8.8,14.5,238,5841.8,3695.4,2054.7,235.9,570.2,81.2,1610,1255.9,354.1,1.347000003,1.215000033,1.027999997,1.393000007,-0.147,0.838999987,-0.147,0.839999974
311919,2005,34,1049.1,23,37.6,566.9,15042.3,3997.8,11150,255.2,616.9,209,5362.1,3948.1,1414,1.149999976,1.15199995,1.037999988,1.518000007,0.075000003,1.182999969,0.075999998,1.184000015
311920,2005,10.7,522.3,6.9,14.3,289.7,6244.5,2870,3369.3,183.7,522,81,3750.4,2264,1486.3,1.039999962,1.100000024,1,1.434000015,-0.079000004,1,-0.079000004,1.001000047
311930,2005,5.6,262.5,3.8,7.5,155.7,7644.2,1374.2,6230.7,73.7,308.5,30.2,1339.7,837.6,502.1,1.139999986,1.133000016,1.052999973,1.338999987,-0.028999999,1.006999969,-0.028999999,1.006999969
311941,2005,14,594,9.2,19.4,303.8,6199.7,3356.1,2831.6,134.8,650.2,54.8,2394.8,1622.3,772.5,1.103999972,1.156000018,1.031999946,1.286000013,0.005,0.907999992,0.005,0.907999992
311942,2005,16.8,820.5,11,23.3,419.6,6547.4,3173.6,3389.6,127.4,614.9,57.8,1706.5,1166,540.5,1.166000009,1.09800005,1.06099999,1.299000025,0.018999999,0.977999985,0.018999999,0.977999985
311991,2005,38.5,1195.4,28.7,58.7,775.3,7866.4,4248.7,3657.2,311.6,585.7,124,1631.2,1230.7,400.5,1.126999974,1.118000031,1.039000034,1.266000032,0.006,1.11500001,0.006,1.11500001
311999,2005,42.4,1548.9,31.6,64.7,1004.5,11907.1,6306.1,5620.6,462.5,869.4,187.7,3635.7,2603.7,1032,1.103000045,1.118000031,1.036999941,1.345999956,-0.008,1.006999969,-0.008,1.006000042
312111,2005,55.5,2399,27.3,57.5,1024.4,40104.5,22468.3,17466.8,1376.3,1496.2,370,13683.9,9750,3933.9,1.200000048,1.144999981,1.031000018,1.30400002,0.046,1.019000053,0.046,1.019000053
312112,2005,8.6,331.6,4.2,8.9,141.6,3408.3,1237.7,2280,75.8,82.4,31.4,961.2,740.9,220.2,1.110999942,1.144999981,1.049000025,1.235000014,0.157000005,1.35800004,0.157000005,1.35800004
312113,2005,5.8,164.5,2.8,6,70.2,786,139.1,703.1,7.1,9.3,7.3,355.9,246.7,109.2,1.300999999,1.144999981,1.014000058,1.245000005,0.098999999,1.55400002,0.098999999,1.514000058
312120,2005,24.3,1441.3,17.1,32.1,864.6,20794.6,7390.4,13417.3,1007.3,443.2,317.6,13708.6,9264,4444.6,1.256999969,1.120000005,1.042000055,1.453999996,-0.02,0.912,-0.018999999,0.912
312130,2005,24.1,1162.3,11.9,23.6,452.7,10452.7,4437.8,6340.4,359.1,6538,89.8,3907.9,2692.4,1215.5,1.06400001,1.087000012,1.072000027,1.19599998,0.018999999,1.182999969,0.018999999,1.182999969
312140,2005,5.5,272.6,3.6,7.3,147.5,5376,2172.3,3228.3,122.4,1467.6,36.1,1275,796.2,478.7,1.07099998,1.120000005,1.062000036,1.432999969,0.057,1.23300004,0.057,1.23300004
