고유번호,기준연도,행정동코드,행정동명,2007년사용량,2008년사용량,경도,위도,,region1,region2,year,경도,위도
OBJECTID,BASE_YEAR,ADM_DR_CD,ADM_DR_NM,SUM_07,SUM_08,LNG,LAT,,강남구,개포1동,2006,127.0604992,37.480258
6,2008,1102052,소공동,4206.258,3436.076,126.9746802,37.5644921,,강남구,개포4동,2006,127.0532531,37.4766254
7,2008,1102062,신당2동,2264.239,2262.996,127.0087901,37.5548782,,강남구,논현1동,2006,127.0267406,37.5120568
8,2008,1101070,숭인1동,667.094,688.798,127.0169173,37.5775773,,강남구,논현2동,2006,127.0359884,37.5151697
9,2008,1105062,구의3동,4156.178,3972.142,127.0961417,37.5357391,,강남구,대치1동,2006,127.0592099,37.4932837
13,2008,1104065,성수1가1동,2208.133,1818.306,127.0401648,37.5401785,,강남구,대치4동,2006,127.0549429,37.5015894
16,2008,1105063,광장동,5880.88,5692.283,127.103556,37.5475025,,강남구,도곡1동,2006,127.0407387,37.4894403
4,2008,1103057,원효로2동,1624.859,1363.161,126.952627,37.5325935,,강남구,도곡2동,2006,127.0489675,37.4880185
15,2008,1104071,왕십리도선동,2934.975,2503.278,127.0299465,37.5665139,,강남구,삼성1동,2006,127.0593872,37.5162321
10,2008,1109074,우이동,2684.945,2684.228,126.9989986,37.6619306,,강남구,삼성2동,2006,127.0489931,37.5116921
11,2008,1110064,도봉1동,2961.264,2924.577,127.0270249,37.6852966,,강남구,세곡동,2006,127.1034738,37.4724392
12,2008,1111056,공릉2동,5377.14,5250.553,127.0918584,37.6314108,,강남구,수서동,2006,127.1015292,37.485455
20,2008,1110053,쌍문3동,2224.719,1853.683,127.0307557,37.6471216,,강남구,신사동,2006,126.9197666,37.4857049
60,2008,1101057,무악동,610.093,593.459,126.9582782,37.5773293,,강남구,역삼1동,2006,127.0367584,37.4999211
29,2008,1102064,신당4동,1264.44,1258.093,127.015277,37.5566297,,강남구,역삼2동,2006,127.0449272,37.4984733
40,2008,1103064,이촌2동,1106.487,917.179,126.9540649,37.5234571,,강남구,일원1동,2006,127.0907675,37.4930774
54,2008,1101069,창신3동,1094.13,893.202,127.012994,37.578808,,강남구,일원2동,2006,127.0811726,37.4941682
63,2008,1105053,화양동,4330.72,3508.259,127.0731746,37.5435197,,강남구,일원본동,2006,127.0839487,37.483064
36,2008,1103052,용산2가동,1604.803,1628.497,126.9833537,37.5405637,,강동구,강일동,2006,127.1725746,37.5632192
22,2008,1101058,교남동,1403.512,1411.129,126.9643275,37.5712812,,강동구,고덕1동,2006,127.1491472,37.5642144
83,2008,1105057,중곡3동,2303.95,2237.12,127.0814009,37.5676251,,강동구,고덕2동,2006,127.1622577,37.5665935
96,2008,1110060,창2동,3447.301,3308.661,127.0372578,37.6417801,,강동구,둔촌1동,2006,127.1400533,37.5228724
111,2008,1107065,묵2동,1961.67,1615.576,127.075083,37.6108728,,강동구,둔촌2동,2006,127.1485334,37.531799
132,2008,1116069,공항동,3451.529,3237.15,126.7947412,37.5566442,,강동구,명일1동,2006,127.1452785,37.5495731
89,2008,1105067,자양4동,601.47,480.65,127.0636013,37.5338801,,강동구,명일2동,2006,127.1557966,37.5484922
65,2008,1106061,답십리2동,1393.257,1213.254,127.0598105,37.5717561,,강동구,상일동,2006,127.1650498,37.5507951
81,2008,1105055,중곡1동,1953.443,1917.094,127.0777479,37.5619104,,강동구,성내1동,2006,127.1254874,37.5284538
87,2008,1105064,자양1동,2966.008,2451.969,127.0802498,37.5367375,,강동구,성내2동,2006,127.1277928,37.5343406
95,2008,1110052,쌍문2동,2739.677,2686.763,127.037596,37.65647,,강동구,성내3동,2006,127.1336758,37.5284118
100,2008,1106067,장안3동,2105.966,1794.972,127.0715842,37.5661067,,강동구,암사2동,2006,127.12315,37.5581746
1,2008,1101061,종로1.2.3.4가동,6574.332,5588.906,126.9892737,37.5777701,,강동구,암사3동,2006,127.1384252,37.5625071
2,2008,1101063,종로5.6가동,1906.46,1500.486,127.0041223,37.5731912,,강동구,천호1동,2006,127.1375642,37.5465789
3,2008,1103053,남영동,1446.878,1241.222,126.9740814,37.5445003,,강동구,천호3동,2006,127.1340726,37.5393527
17,2008,1106056,전농1동,1506.217,1151.734,127.0499775,37.5758438,,강북구,번1동,2006,127.0308537,37.6383904
5,2008,1103063,이촌1동,3005.19,2894.435,126.9702107,37.5175452,,강북구,번2동,2006,127.0344734,37.6276871
14,2008,1104058,응봉동,1869.702,1770.466,127.0345904,37.5505682,,강북구,번3동,2006,127.0433655,37.6234709
28,2008,1102063,신당3동,1905.094,1567.716,127.0105912,37.5496752,,강북구,수유1동,2006,127.0087803,37.6295496
35,2008,1103066,이태원2동,1560.705,1582.503,126.9923385,37.5416696,,강북구,수유2동,2006,127.0195059,37.6450152
38,2008,1102061,신당1동,2232.927,1748.167,127.0137367,37.5652698,,강북구,수유3동,2006,127.0238872,37.6410633
45,2008,1106055,제기2동,1921.896,1600.728,127.03405,37.5840262,,강서구,가양1동,2006,126.8352521,37.5734646
56,2008,1101072,청운효자동,2500.706,2254.069,126.9690467,37.5847576,,강서구,가양2동,2006,126.85434,37.5683492
57,2008,1102054,회현동,3681.771,3169.051,126.9769755,37.5572557,,강서구,가양3동,2006,126.8622364,37.5627583
58,2008,1103058,효창동,1291.623,1278.518,126.960713,37.5436889,,강서구,공항동,2006,126.7947412,37.5566442
59,2008,1103059,용문동,1174.708,966.92,126.9584408,37.5381216,,강서구,등촌1동,2006,126.859834,37.5560676
61,2008,1101067,창신1동,1346.02,1054.214,127.0142162,37.5732983,,강서구,등촌2동,2006,126.8594214,37.5447925
47,2008,1108068,길음2동,2477.447,2371.188,127.0272226,37.6079289,,강서구,등촌3동,2006,126.8467162,37.561938
48,2008,1106060,답십리1동,1026.72,1005.282,127.0546553,37.5717301,,강서구,발산1동,2006,126.8258043,37.5502922
49,2008,1104054,마장동,3352.018,3316.835,127.0402895,37.5674822,,강서구,방화1동,2006,126.8129904,37.569611
50,2008,1101064,이화동,2928.929,2890.278,127.0026466,37.5801301,,강서구,방화2동,2006,126.8055663,37.583188
51,2008,1101065,혜화동,2139.112,1810.511,127.0008948,37.5868266,,강서구,방화3동,2006,126.8153977,37.5829656
33,2008,1106063,답십리4동,1731.573,1411.231,127.0622753,37.5698142,,강서구,염창동,2006,126.8764141,37.5537467
21,2008,1101056,평창동,2846.928,2817.524,126.9685672,37.6136779,,강서구,화곡2동,2006,126.8548119,37.5326968
34,2008,1103065,이태원1동,1830.75,1523.425,126.9929244,37.5335249,,강서구,화곡3동,2006,126.8351141,37.5439302
37,2008,1101060,가회동,1140.37,1122.409,126.9863189,37.583995,,강서구,화곡4동,2006,126.85813,37.5359072
39,2008,1102065,신당5동,1136.815,894.922,127.0213994,37.5631643,,강서구,화곡6동,2006,126.8511714,37.5516082
18,2008,1101053,사직동,2902.623,2808.166,126.9693562,37.5738364,,강서구,화곡8동,2006,126.847988,37.5337349
19,2008,1101054,삼청동,854.177,870.571,126.981541,37.5860477,,강서구,화곡본동,2006,126.8482094,37.5425489
53,2008,1101068,창신2동,1341.052,1333.519,127.0104257,37.5759758,,관악구,남현동,2006,126.9765916,37.4617099
64,2008,1105060,구의1동,2788.041,2738.28,127.0859709,37.5409688,,관악구,봉천10동,2006,126.9643198,37.5954681
71,2008,1104056,행당1동,2049.632,2079.662,127.0351023,37.5597522,,관악구,봉천11동,2006,126.9643198,37.5954681
76,2008,1104068,성수2가3동,3189.119,2623.981,127.0585584,37.5455156,,관악구,봉천1동,2006,126.9643198,37.5954681
26,2008,1102058,장충동,2264.25,2185.329,127.0011254,37.5555108,,관악구,봉천3동,2006,126.9643198,37.5954681
27,2008,1102059,광희동,2751.72,2268.433,127.0029274,37.5655997,,관악구,봉천6동,2006,126.9643198,37.5954681
