z
64.577
64.937
65.178
65.479
65.539
65.659
65.780
66.261
66.563
66.563
66.622
68.307
69.933
71.137
71.016
71.257
70.896
70.595
70.595
70.835
71.137
71.377
71.137
71.016
70.956
71.257
71.377
71.557
71.437
71.016
70.775
71.498
71.678
72.220
72.099
71.978
72.298
72.518
72.883
72.591
72.225
72.591
72.883
73.248
74.199
74.126
73.687
73.979
74.784
75.149
75.807
76.099
76.026
76.246
76.392
76.684
76.611
76.611
76.173
76.319
76.757
77.123
77.561
78.000
78.292
78.219
78.000
78.512
78.951
78.731
78.804
79.169
79.682
80.120
81.070
80.924
80.778
80.559
80.486
80.851
81.582
81.655
81.509
81.875
82.387
82.752
83.556
83.556
83.483
83.483
83.995
84.725
84.725
84.725
84.214
84.360
85.191
85.536
86.053
86.139
86.053
85.794
86.139
86.397
86.828
86.656
86.311
86.570
87.086
87.259
87.775
87.862
88.034
87.862
88.206
88.723
88.981
88.551
88.120
88.378
88.551
89.154
89.671
90.015
90.101
90.101
90.446
90.532
91.049
91.221
91.221
91.566
91.996
92.341
93.202
93.719
94.494
95.097
95.786
95.614
95.700
95.614
95.356
95.356
95.442
96.131
96.820
97.078
97.078
96.992
97.337
97.681
97.768
97.509
97.681
98.026
98.800
99.000
99.200
99.600
99.700
99.600
99.800
100.300
101.100
101.100
100.600
101.000
102.200
102.900
103.300
103.400
103.600
103.800
104.300
105.000
104.900
104.700
104.800
105.200
105.700
106.100
106.000
106.000
106.200
106.100
105.900
106.300
107.000
106.900
106.500
106.700
107.300
107.600
107.400
107.300







