z
228987
237018
241781
252430
279612
258065
290958
272194
298390
281297
322854
383480
434521
438277
466230
462860
522531
478779
502143
502946
536625
546451
552618
585897
586843
563747
571027
559812
576678
550995
1269757
570175
588441
601694
614836
700281
658826
605194
642644
601765
608727
620083
648298
602414
629172
673833
714547
762602
814812
743727
836112
799118
860143
815666
891958
883177
946586
942477
1013091
1128729
1044738
999524
1103354
1048129
1113350
1071298
1149838
1107311
1196914
1083416
1245265
1296459
1305713
1224944
1297471
1215183
1288842
1210461
1322420
1293790
1269757
1380183
1448818
1507991
1562129
1363409
1510474
1444649
1478715
1440161
1609148
1453852
1503192
1544827
1539410
1695550
1559023
1506573
1627011
1610388
1600694
1632383
1750041
1676160
1839239
1773447
1937209
2130810
1991117
1841280
2070829
1943646
2017118
2021147
2152877
2018942
2086249
2202228
2325110
2532442
2435883
2019389
2440945
2279042
2369627
2395852
2441464
2456728
2358981
2472822
2626823
2774907
2602551
2506749
2612225
2513324
2723294
2591318
2822668
2583605
2604781
2833350
2916329
3036985
