z
9922981
9883554
11689417
10637203
11235754
11302160
9896713
9687368
9992278
11848368
11399315
12220025
9034439
9362328
11326864
11395617
11744573
12391593
11806838
11040483
11334410
12465302
11833848
12427909
9000456
11221887
12009284
12060649
11308332
11508916
10023785
9709131
10748283
10633667
11669585
12419168
9259511
9337212
11657190
11499780
11422801
12819358
11751365
11369995
11966386
13449648
14196951
14955262
12162425
12676042
14429703
13522040
14636755
15250940
14455656
14786880
15133379
15248068
14989068
14976555
12644929
13354074
14124891
12121110
13306959
12931941
11392257
11766192
12447324
12086028
12348967
11914472
11381879
11023037
13251323
13184534
14173177
12894088
13395179
13959110
13900763
15084659
15196561
15026217
14319931
13337145
15378850
15720592
14676092
15656327
15431714
15375268
17021082
18929665
18242088
19728688
18987120
19136968
21174855
21483357
20834259
21657111
21003794
19798969
20831133
22663289
23076612
23197206
22454025
20401096
23952500
22872505
23122703
23707576
23235522
23342967
24519191
25352748
25826192
25631716
23257866
23786956
26840145
25590123
27934507
27948805
25774350
27287195
29651247
28015959
30602313
28775383
28092561
26225125
30385840
29944456
31039901
32000109
30207444
30998134
29323535
34433813
35807893
33030276
32274575
31178190
35991776
37850247
39383158
37258608
40961223
36610603
37428303
37111140
28841617
27117889
21133405
25397150
27890831
30326509
27823839
32210048
31908462
28949627
33922429
33970032
33991607
36009623
30735415
33039402
37308940
39301014
38887930
42049045
40423611
36480955
39410882
43340335
41260912
44145320
44465366
38467412
48052991
48536725
47331329
46736893
48950113
45792061
46510965
46613480
46012595
47743725
41209760
46317727
47327077
46095583
46912821
47172115
44669157
43046112
45415053
47089796
47788899
45031830











