Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,92.86,99.85,89.01,99.23,7275300,84.68
2004-02-02,99.15,100.43,95.2,96.5,5392400,82.48
2004-03-01,96.5,97.6,90.28,91.84,5612900,78.5
2004-04-01,91.67,94.55,88.01,88.17,5507200,75.36
2004-05-03,88.13,89.75,85.12,88.59,5395500,75.88
2004-06-01,88,91.21,87.3,88.15,4604400,75.5
2004-07-01,88.28,88.44,83.42,87.07,5929000,74.57
2004-08-02,86.87,87.39,81.9,84.69,4298600,72.69
2004-09-01,84.05,87.28,83.24,85.74,4719200,73.59
2004-10-01,85.95,90.27,84.29,89.75,5839700,77.03
2004-11-01,89.33,96.63,89.23,94.24,5754800,81.04
2004-12-01,94.5,99,94.47,98.58,5043800,84.77
2005-01-03,98.97,99.1,91.44,93.42,5960900,80.34
2005-02-01,93.67,94.97,91.55,92.58,4455600,79.77
2005-03-01,92.64,93.73,89.09,91.38,5025600,78.73
2005-04-01,91.49,91.76,71.85,76.38,10709200,65.81
2005-05-02,76.88,78.11,72.5,75.55,6896900,65.27
2005-06-01,75.57,77.73,73.45,74.2,6439500,64.1
2005-07-01,74.3,85.11,74.16,83.46,8056500,72.1
2005-08-01,83,84.2,79.87,80.62,4801300,69.81
2005-09-01,80.16,82.11,76.93,80.22,5772200,69.47
2005-10-03,80.22,84.6,78.7,81.88,7019600,70.9
2005-11-01,81.85,89.94,80.64,88.9,5556400,77.17
2005-12-01,89.15,89.92,81.56,82.2,5976200,71.35
2006-01-03,82.45,85.03,80.21,81.3,7663100,70.57
2006-02-01,80.9,82.24,78.93,80.24,6158500,69.83
2006-03-01,80.2,84.99,79.51,82.47,5103300,71.77
2006-04-03,82.72,84.45,80.63,82.34,6432000,71.65
2006-05-01,82.59,83.69,79.06,79.9,5433200,69.78
2006-06-01,79.89,80.87,76.06,76.82,6698600,67.09
2006-07-03,77.54,78.53,72.73,77.41,7128500,67.61
2006-08-01,76.65,81.68,75.05,80.97,4550700,71
2006-09-01,81.13,83.79,79.31,81.94,5377300,71.85
2006-10-02,81.76,92.68,81.56,92.33,8165200,80.96
2006-11-01,92.5,94.05,90.43,91.92,5280900,80.86
2006-12-01,91.9,97.88,90.55,97.15,5446300,85.46
2007-01-03,97.18,100.9,94.55,99.15,9956700,87.22
2007-02-01,98.97,100.44,92.47,92.94,7261400,82
2007-03-01,90.25,95.81,88.77,94.26,7765100,83.17
2007-04-02,94.51,103,93.91,102.21,8842800,90.18
2007-05-01,102.06,108.05,101.35,106.6,6888100,94.42
2007-06-01,106.62,107.24,101.56,105.25,8410400,93.23
2007-07-02,105.39,118.82,104.58,110.65,10979700,98.01
2007-08-01,110.39,117.35,103.7,116.69,9119700,103.73
2007-09-04,116.34,118.89,114.3,117.8,7366000,104.71
2007-10-01,117.61,121.46,110.96,116.12,7777600,103.22
2007-11-01,115.5,116.09,99.27,105.18,10181900,93.83
2007-12-03,105.55,112.19,104,108.1,6994100,96.43
2008-01-02,108.99,108.99,97.04,107.11,12218000,95.55
2008-02-01,107.16,116.63,100.6,113.86,8837700,101.96
2008-03-03,113.86,119.79,111.8,115.14,9449500,103.1
2008-04-01,115.2,125,113.86,120.7,9100700,108.08
2008-05-01,121.06,129.99,120.78,129.43,8008100,116.37
2008-06-02,128.49,129.37,118.15,118.53,7655500,106.57
2008-07-01,117.5,130.93,116.6,127.98,9396900,115.07
2008-08-01,128.52,129.97,121.5,121.73,6865900,109.88
2008-09-02,122.87,124,109.95,116.96,11304900,105.57
2008-10-01,115.51,116.8,78.82,92.97,14151200,83.92
2008-11-03,92.64,94.76,69.5,81.6,11695800,74.07
2008-12-01,80.95,87.27,75.31,84.16,8886900,76.39
2009-01-02,83.89,94.94,81.76,91.65,10928800,83.19
2009-02-02,90.6,97.1,82.85,92.03,12859400,83.99
2009-03-02,91.17,99.86,83.02,96.89,13666700,88.42
2009-04-01,96.13,106.05,95.7,103.21,10679800,94.19
2009-05-01,103.78,106.82,99.83,106.28,7997800,97.5
2009-06-01,106.94,110.64,103.51,104.42,7637000,95.79
2009-07-01,105,119.37,99.5,117.93,8250000,108.19
2009-08-03,118.88,120.88,116.12,118.05,5615200,108.8
2009-09-01,117.67,122.88,115.15,119.61,6631200,110.24
2009-10-01,119.39,128.61,117.26,120.61,8692800,111.16
2009-11-02,120.77,128.94,119.5,126.35,5852500,116.97
2009-12-01,127.29,132.85,126,130.9,5849900,121.19
2010-01-04,131.18,134.25,121.9,122.39,8825300,113.31
2010-02-01,123.23,128.27,121.61,127.16,6210200,118.25
2010-03-01,127.5,130.73,125.2,128.25,6300000,119.26
2010-04-01,128.95,132.28,127.12,129,7271100,119.96
2010-05-03,129.39,133.1,116,125.26,9793300,117.08
2010-06-01,124.69,131.94,122.82,123.48,7728900,115.42
2010-07-01,123.55,131.6,120.61,128.4,7147600,120.02
2010-08-02,129.25,132.49,122.28,123.13,5591700,115.66
2010-09-01,125.31,136.11,124.52,134.14,5834200,126
2010-10-01,135.51,144,134.39,143.6,6939200,134.89
2010-11-01,143.64,147.53,141.18,141.46,5322400,133.47
2010-12-01,143.61,147.5,143.51,146.76,4380100,138.47
2011-01-03,147.21,164.35,146.64,162,6301400,152.85
2011-02-01,162.11,166.25,159.03,161.88,4938900,153.34
2011-03-01,163.15,167.72,151.71,163.07,5807600,154.47
2011-04-01,163.7,173,162.19,170.58,5317800,161.58
2011-05-02,172.11,173.54,165.9,168.93,5710800,160.73
2011-06-01,168.9,172.45,161.52,171.55,5024800,163.23
2011-07-01,171.61,185.63,171.49,181.85,6012900,173.03
2011-08-01,182.6,183.69,157.13,171.91,8744700,164.28
2011-09-01,172.71,180.91,158.76,174.87,6938200,167.11
2011-10-03,174.36,190.53,168.88,184.63,7108200,176.44
2011-11-01,181.55,189.97,177.06,188,4992900,180.38
2011-12-01,187.01,194.9,179.04,183.88,5093600,176.43
2012-01-03,186.73,193.1,177.35,192.6,5742000,184.79
2012-02-01,193.21,199.23,190.83,196.73,4196300,189.49
2012-03-01,197.23,209.12,196.81,208.65,4150500,200.97
2012-04-02,208.96,210.69,196.79,207.08,4468800,199.46
2012-05-01,207.18,208.93,192,192.9,4331400,186.58
2012-06-01,190.12,199.99,187,195.58,4277000,189.17
2012-07-02,196.36,197.84,181.85,195.98,4524900,189.56
2012-08-01,196.96,202,193.02,194.85,2775900,189.27
2012-09-04,196.61,208.32,193.25,207.45,4329000,201.51
2012-10-01,208.01,211.79,190.56,194.53,4867000,188.96
2012-11-01,194.68,198,184.78,190.07,4134700,185.44
2012-12-03,190.76,196.45,186.94,191.55,4200200,186.88
2013-01-02,194.09,208.58,190.39,203.07,4320300,198.12
2013-02-01,204.65,205.35,197.51,200.83,3622800,196.76
2013-03-01,200.65,215.9,199.36,213.3,3988600,208.97
2013-04-01,212.8,214.89,187.68,202.54,5282100,198.43
2013-05-01,201.87,211.98,199.2,208.02,4346900,204.76
2013-06-03,208.25,210.05,188.41,191.11,4513500,188.11
2013-07-01,192.15,200.94,190.26,195.04,4176700,191.98
2013-08-01,196.65,197.17,181.1,182.27,3445800,180.31
2013-09-03,183.63,194.89,182.31,185.18,3773300,183.19
2013-10-01,185.34,186.99,172.57,179.21,5881900,177.28
2013-11-01,179.81,186.24,177.31,179.68,5192700,178.7
2013-12-02,179.46,187.79,172.73,187.57,4838700,186.55
2014-01-02,187.21,190.81,175.34,176.68,6127700,175.72
2014-02-03,176.02,186.12,172.19,185.17,4827500,185.17
2014-03-03,183.33,195.63,182.21,192.49,6072400,192.49
2014-04-01,193.12,199.21,187.01,189.63,5991400,189.63
