Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,33.45,36.81,32.9,36.61,7217800,17.24
2004-02-02,36.82,39.68,36,37.4,7621800,17.61
2004-03-01,37.89,38.74,36.51,37.87,6473300,17.83
2004-04-01,38.14,39.91,36.74,38.92,5974400,18.32
2004-05-03,38.82,41.2,37.03,40.6,6205400,19.11
2004-06-01,40.7,44.4,40.62,43.49,6077200,20.47
2004-07-01,44.65,48.4,44.02,46.99,7604900,22.12
2004-08-02,46.87,47.13,42.05,43.24,7669800,20.36
2004-09-01,42.99,46.29,42.79,45.46,5226800,21.4
2004-10-01,45.97,53.25,45.29,52.88,7314000,24.9
2004-11-01,52.92,57,52.6,56.26,6063200,26.49
2004-12-01,56.33,64.26,56.29,62.36,6022800,29.36
2005-01-03,63.29,63.34,52.1,54,12119800,25.42
2005-02-01,54.16,54.98,49.14,51.81,8706700,24.39
2005-03-01,51.89,55.59,50.72,51.66,6383600,24.32
2005-04-01,52.23,52.38,44.58,49.52,10609100,23.31
2005-05-02,49.9,55.72,49.2,54.79,6564900,25.79
2005-06-01,54.92,56.9,51.52,51.66,5501900,24.32
2005-07-01,51.73,54.39,49.28,52.55,7140300,24.74
2005-08-01,52.55,52.77,48,49.03,5057900,23.08
2005-09-01,49.8,50.16,46.01,50.1,6704000,23.59
2005-10-03,50.31,55.25,26.87,28.28,7031700,26.63
2005-11-01,28.3,32,28.07,30.45,5806900,28.67
2005-12-01,30.34,32.46,29.94,30.01,4481200,28.26
2006-01-03,30.57,32.32,29.9,31.7,4410800,29.85
2006-02-01,31.28,36.87,31.14,36.32,6791500,34.2
2006-03-01,36.33,38.11,34.73,37.63,5098600,35.43
2006-04-03,37.98,39.5,36.77,37.27,5459000,35.09
2006-05-01,37.63,39.88,34.6,35.65,7918100,33.57
2006-06-01,35.49,38.02,34.91,37.76,6046900,35.55
2006-07-03,37.96,38.33,32.93,34.23,7994100,32.23
2006-08-01,33.99,33.99,28.72,31.01,11989600,29.2
2006-09-01,31.61,35.04,30.53,34.05,8194200,32.06
2006-10-02,34.15,39.5,33.61,37.75,8627800,35.54
2006-11-01,37.99,40.01,35.16,35.29,8192600,33.23
2006-12-01,35.25,37.14,34.9,35.42,5455800,33.35
2007-01-03,35.6,36.61,33.49,34.94,8635100,32.9
2007-02-01,35.13,35.42,30.24,30.9,10784200,29.09
2007-03-01,30.2,32.45,28.86,31.36,12966000,29.53
2007-04-02,31.54,32.3,30.3,31.02,9228800,29.21
2007-05-01,31.16,31.9,28.03,28.81,15132000,27.13
2007-06-01,28.8,29.15,25.22,26.24,18001300,24.71
2007-07-02,26.4,28.5,25.63,26.68,16492900,25.12
2007-08-01,26.51,28.6,26.03,27.55,12381800,25.94
2007-09-04,27.67,28.19,25.95,26.2,11225900,24.67
2007-10-01,26.27,26.92,25.63,26.68,9327000,25.12
2007-11-01,26.4,26.68,21.77,23.39,20240200,22.02
2007-12-03,23.23,23.43,19.89,20.47,12201200,19.27
2008-01-02,20.14,21.01,17.66,18.91,24534800,17.81
2008-02-01,18.97,19.35,17.75,17.98,13260300,16.93
2008-03-03,18.02,18.5,16.77,17.5,15459300,16.48
2008-04-01,17.83,18.89,15.39,16.23,16043200,15.28
2008-05-01,15.96,18.41,15.68,18.19,15618000,17.13
2008-06-02,18.17,18.56,15.73,15.74,12765700,14.82
2008-07-01,15.56,16.05,13.33,14.69,16626800,13.83
2008-08-01,14.9,17.18,14.01,15.56,12810200,14.65
2008-09-02,15.96,16.82,14.13,14.87,13818400,14
2008-10-01,14.56,15.06,9.16,13.13,17651000,12.36
2008-11-03,12.67,13.15,7.06,8.93,17471500,8.41
2008-12-01,8.63,10.37,7.93,9.46,10758700,8.91
2009-01-02,9.41,10.36,8.5,9.44,12327700,8.89
2009-02-02,9.26,10.77,8.9,9.15,13553800,8.62
2009-03-02,8.98,12.43,8.12,11.11,13618600,10.46
2009-04-01,10.99,15.44,10.81,14.46,17234200,13.62
2009-05-01,14.42,14.5,12.52,14.39,14763100,13.55
2009-06-01,14.57,15.4,13.54,13.89,12828200,13.08
2009-07-01,13.98,17.9,12.76,17.7,15733000,16.67
2009-08-03,17.98,19.85,17.67,18.99,12259300,17.88
2009-09-01,18.98,20.94,18.21,20.65,12554100,19.44
2009-10-01,20.54,21.11,18.69,18.98,10209400,17.87
2009-11-02,18.98,22.1,18.85,21.9,11518200,20.62
2009-12-01,21.95,23.95,20.95,23.06,9131800,21.71
2010-01-04,23.32,24.45,21.75,21.79,11213900,20.52
2010-02-01,21.99,23.46,21.26,22.91,8277100,21.57
2010-03-01,22.93,26,22.87,24.27,9294700,22.85
2010-04-01,24.54,27.59,23.95,25.98,9869200,24.56
2010-05-03,26.02,27.93,24.07,25.89,12268900,24.48
2010-06-01,25.75,28.5,24.27,24.3,10626100,22.98
2010-07-01,24.43,26.44,23.47,24.85,9788500,23.5
2010-08-02,25.02,25.72,22.5,22.98,7989200,21.84
2010-09-01,23.18,26.57,23.03,25.55,7569500,24.28
2010-10-01,25.89,28.8,25.37,28.56,7076800,27.14
2010-11-01,28.68,31.51,28.44,30.6,8219700,29.21
2010-12-01,31.01,33.15,31.01,32.13,5471600,30.67
2011-01-03,32.49,33.78,30.75,31.53,9729700,30.09
2011-02-01,31.76,34.03,31.17,32.98,7780100,31.6
2011-03-01,33.23,38.21,31.72,36.95,10473400,35.41
2011-04-01,37.25,37.66,35,36.2,7660700,34.69
2011-05-02,36.48,37.67,34.84,36.79,6264200,35.38
2011-06-01,36.54,39.79,34.61,39.49,6770400,37.98
2011-07-01,39.62,41.11,38.9,40.09,7779800,38.56
2011-08-01,40.44,40.77,33.72,38.62,10324400,37.27
2011-09-01,38.84,42,36.42,37.29,8596600,35.99
2011-10-03,36.85,43.43,35.12,42.36,7391800,40.88
2011-11-01,41.33,44.7,40.55,43.48,7198700,42.13
2011-12-01,43.2,46.5,42.67,46.01,4988100,44.58
2012-01-03,46.85,48.62,45.28,47.92,6424800,46.43
2012-02-01,48.34,49.36,47.41,48.56,4728800,47.22
2012-03-01,48.69,56.55,48.1,55.89,7081300,54.34
